,mouse,condition,avgScore,avgHCScore,avgTaskScore
0,Mouse30391,WT,0.13879406,0.13018009,0.1480021
1,Mouse30392,WT,0.090984106,0.087979816,0.09447666
2,Mouse69841,CLOCK,0.100997485,0.095630854,0.10714044
3,Mouse69861,WT,0.10671795,0.11338619,0.10219515
4,Mouse69862,WT,0.1287595,0.12791497,0.1289933
5,Mouse69871,CLOCK,0.10894442,0.1097011,0.10848571
6,Mouse69872,CLOCK,0.093728095,0.09492498,0.09273347
7,Mouse69873,CLOCK,0.09240923,0.08905002,0.09478924
