,Amy,Cg_Cx,Hipp,IL_Cx,Nac,PrL_Cx,Thal,VTA
Amy,0.0,-0.8383902326230578,-1.1415771038119733,-0.8603616326115976,-0.8603381485301482,0.19141773589145508,-3.1280747088355176,-0.47407006007199787
Cg_Cx,-0.8383902326230578,0.0,-3.549131510649578,0.3060494560538881,0.13068713232189927,-2.7391348620005718,-1.6922468314111252,-4.7490434616789745
Hipp,-1.1415771038119733,-3.549131510649578,0.0,-0.30009639362536494,-2.7118856581591255,-2.996864529762513,-0.6276790206245235,5.434662656574067
IL_Cx,-0.8603616326115976,0.3060494560538881,-0.30009639362536494,0.0,-2.434425823024732,-2.0756532560826493,-1.6847448454964065,-6.213751741616985
Nac,-0.8603381485301482,0.13068713232189927,-2.7118856581591255,-2.434425823024732,0.0,-1.487602620590792,-2.7660678052250027,-2.6994946153083696
PrL_Cx,0.19141773589145508,-2.7391348620005718,-2.996864529762513,-2.0756532560826493,-1.487602620590792,0.0,-1.5480734634062545,-4.0480268242483985
Thal,-3.1280747088355176,-1.6922468314111252,-0.6276790206245235,-1.6847448454964065,-2.7660678052250027,-1.5480734634062545,0.0,-1.2977241592605235
VTA,-0.47407006007199787,-4.7490434616789745,5.434662656574067,-6.213751741616985,-2.6994946153083696,-4.0480268242483985,-1.2977241592605235,0.0
