,Amy,Cg_Cx,Hipp,IL_Cx,Nac,PrL_Cx,Thal,VTA
Amy,0.0,0.008359952044193866,0.010321473454999784,0.00014453416690698022,0.00023219168519190018,0.005421686572519928,0.011649747976052073,0.011969734383777363
Cg_Cx,0.008359952044193866,0.0,0.015855135817788347,0.026324034809724638,0.0029625825283351543,0.004398860190015125,0.0020259360858091977,0.030991350487280214
Hipp,0.010321473454999784,0.015855135817788347,0.0,0.0008784696111027267,0.0005318577227176303,0.0015047266860941978,0.21129416576001459,0.00016827786394394724
IL_Cx,0.00014453416690698022,0.026324034809724638,0.0008784696111027267,0.0,0.0005301862585488706,0.00038492981786944914,2.3753931507940594e-05,0.003675912294194502
Nac,0.00023219168519190018,0.0029625825283351543,0.0005318577227176303,0.0005301862585488706,0.0,0.001254388360631848,0.007042102680781531,0.001927557061386448
PrL_Cx,0.005421686572519928,0.004398860190015125,0.0015047266860941978,0.00038492981786944914,0.001254388360631848,0.0,0.0003689931587948709,0.02827758830327585
Thal,0.011649747976052073,0.0020259360858091977,0.21129416576001459,2.3753931507940594e-05,0.007042102680781531,0.0003689931587948709,0.0,0.024982769700259373
VTA,0.011969734383777363,0.030991350487280214,0.00016827786394394724,0.003675912294194502,0.001927557061386448,0.02827758830327585,0.024982769700259373,0.0
