,Amy,Cg_Cx,Hipp,IL_Cx,Nac,PrL_Cx,Thal,VTA
Amy,0.0,0.013622867778775336,0.010944999864557143,0.017434087546905754,0.011984461202686118,0.014031069256104175,0.013430528849360635,0.01863754044216219
Cg_Cx,0.013622867778775336,0.0,0.0033063465225013798,0.023317296438884968,0.020793658976953556,0.0095816821108583,0.013874893767266229,0.006626768734363676
Hipp,0.010944999864557143,0.0033063465225013798,0.0,0.00734961456900735,0.00925648471195519,0.009243831934909713,0.01574667801341046,0.01182921832909304
IL_Cx,0.017434087546905754,0.023317296438884968,0.00734961456900735,0.0,0.018176592221033062,0.029071739334625795,0.0143920939515149,0.008609961021554875
Nac,0.011984461202686118,0.020793658976953556,0.00925648471195519,0.018176592221033062,0.0,0.008070564555379972,0.015165519111830734,0.02379798543620957
PrL_Cx,0.014031069256104175,0.0095816821108583,0.009243831934909713,0.029071739334625795,0.008070564555379972,0.0,0.011015993645875428,0.01018649332537444
Thal,0.013430528849360635,0.013874893767266229,0.01574667801341046,0.0143920939515149,0.015165519111830734,0.011015993645875428,0.0,0.016576109934424228
VTA,0.01863754044216219,0.006626768734363676,0.01182921832909304,0.008609961021554875,0.02379798543620957,0.01018649332537444,0.016576109934424228,0.0
