,Amy,Cg_Cx,Hipp,IL_Cx,Nac,PrL_Cx,Thal,VTA
Amy,0.0,0.4874886153989381,0.4863128939182107,0.4835687395166581,0.48870520592482286,0.5029421415704037,0.4539784910689118,0.49032119477723707
Cg_Cx,0.4874886153989381,0.0,0.48714532552949424,0.5078173657016498,0.5029768322939505,0.4712494738657409,0.4742792280229202,0.46552545192952915
Hipp,0.4863128939182107,0.48714532552949424,0.0,0.49758389411229453,0.47250155817975376,0.46965341850699044,0.48917277446607194,0.5704237686347001
IL_Cx,0.4835687395166581,0.5078173657016498,0.49758389411229453,0.0,0.451527029656372,0.43389771929267357,0.4734387356133463,0.4413935107548281
Nac,0.48870520592482286,0.5029768322939505,0.47250155817975376,0.451527029656372,0.0,0.4868483127257904,0.4540473326249334,0.42962583045746244
PrL_Cx,0.5029421415704037,0.4712494738657409,0.46965341850699044,0.43389771929267357,0.4868483127257904,0.0,0.48131875285848075,0.45482910353668893
Thal,0.4539784910689118,0.4742792280229202,0.48917277446607194,0.4734387356133463,0.4540473326249334,0.48131875285848075,0.0,0.476435640964167
VTA,0.49032119477723707,0.46552545192952915,0.5704237686347001,0.4413935107548281,0.42962583045746244,0.45482910353668893,0.476435640964167,0.0
