,mouse,geno,HC_mean_scores,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,Mouse67151,CLOCK,0.038459838877218544,0.034585774,0.029863706,0.080455974,0.016188402,0.026841475,0.055721886,,,0.043517567,0.022283811,0.014603686,0.04473795,0.0024912,,,0.006085827,,0.018632514,0.023061804,0.0370318,0.023372551,0.03319448,0.061526,0.010140577,0.009458896,0.01142654,0.024118315,,,0.06316166,0.06281371,,,,0.051408518,,,0.022137666,0.018657327,,0.035905868,0.053867858,0.018739555,0.017103683,0.030542796,0.0019788048,0.04489069,0.023466917,0.015092319,0.031332564,0.009273053,0.051159643,0.04259475,0.087507315,0.047579903,0.09803673,0.05558076,0.09714853,0.04291413,0.0016286266,0.007412902,0.011593877,0.042157035,,,0.07599367,0.027162405,0.037646163,0.054784045,,0.041607812,0.013158929,0.038059264,0.048641372,0.018760202,0.053154927,0.05303679,0.056707606,0.006734857,0.07880895,0.05420185,0.095518224,0.05703132,0.03325185,0.06386467,0.07332256,,0.07402469,0.01690547,0.026868733,0.023339715,0.0411974,,,0.06937349,0.04143317,0.07217925,0.0077635767,0.01672631,0.0070296763,0.07593291,0.034475293,0.018261865,0.058403444,0.024500629,0.038054135,0.04784972,0.025601868,0.05561069,0.08580205,0.011178896,0.036836844,0.05155905,0.06761148,0.026867414,0.004935624,0.06864329,0.07887718,0.049990915,0.029709766,0.010084784,0.048298605,0.01724065,0.0212568,0.09062818,0.027018726,0.0362839,0.0660711,0.113881335,0.010224749,0.0069547542,0.021901125,0.014457085,0.098606065,,0.09303509,0.007932561,0.027268268,0.017893866,0.04195389,0.057916127,0.014586311,0.039701544,0.018582845,0.04254546,0.0034992958,0.015747175,0.016935794,0.043041036,0.042103615,0.07353555,0.11251002,0.0069704163,,0.0014018392,,,0.024254052,0.054947115,0.05828393,0.05455527,0.007594678,0.03747655,0.020363495,0.050680485,0.052114442,0.04410478,0.054976143,0.03552363,0.018814312,0.019702109,0.0320639,0.012860165,0.0066792644,0.06447298,0.021004952,0.010690381,,,,0.03874138,0.030820645,0.03605801,,,0.029011758,0.019171642,0.05409852,0.07636233,,0.051003158,,,,0.024863651,0.0050966674,0.062227745,0.037365668,0.045927756,0.06399034,0.04457251,0.013574176,0.029882519,0.0038953577,0.057626374,0.04198612,0.057782035,0.0062489426,0.030465957,0.102692924,0.022282045,0.06756467,0.02774072,,,0.05409773,,0.043590732,0.027214179,0.08104311,0.0040477277,0.060996506,0.05223043,0.034028213,0.03260575,0.060675286,0.104358315,0.04988417,0.050698612,0.0063746744,0.0013077316,0.0018793878,,0.098506294,0.03919102,0.06557905,0.06610422,0.05566128,0.0775607,0.10506158,0.05864858,0.0492956,,0.026107201,0.06465592,0.01508385,0.04161265,0.098505214,0.022163916,0.019551022,0.0029548272,0.08603047,0.05443785,0.00579024,0.008812207,0.032562844,0.07301625,0.05465611,0.044155937,0.05801182,0.039178926,0.05045496,0.038466606,0.10628549,0.017026808,0.08374976,0.10091651,0.059516538,0.07507159,0.05982754,0.11133828,0.10105348,0.019079123,0.0073385807,0.022510089,0.01428058,0.013073798,0.0434508,,,0.068531,0.04280423,0.038649913,0.02306342,0.05538314,0.06589682,0.062033523,0.03978329,0.029555093,0.06257941,0.06871874,0.03192506,0.048167598,0.019976111,0.016552141,0.007799955,0.02742718,0.037026376,0.0315046,
1,Mouse67152,CLOCK,0.027342876251407182,0.014214043,0.0034804547,0.050630186,0.009323699,0.02766055,0.014780097,0.060522,0.06188484,0.0059590996,0.043122597,0.0010598971,0.040288124,0.004385586,0.05292416,0.030211529,0.034051,0.03984964,0.009306024,,0.05287825,0.016843881,0.0021365667,0.032236256,0.048312947,0.030813431,0.050657373,0.048724014,0.043170422,0.07965093,0.061173957,0.059262514,0.0036505503,0.0121685965,0.012772143,0.03750257,0.0791946,0.012117599,0.021914676,0.013544147,0.013452608,0.0045299167,0.0029228884,0.023239287,0.019966079,0.0020898345,0.055184603,0.0066118883,0.039217647,0.06442139,0.007435592,0.0703994,0.019776119,0.036115423,0.06455791,0.035027955,0.054109827,0.039079815,0.035607588,0.036085863,0.019279297,0.030791707,0.012669343,0.08271012,0.057463158,0.043246206,0.06683205,0.042254873,0.037204374,0.036029838,0.025012953,0.008735194,0.0096801175,0.03636336,0.021011917,0.017671427,0.0117629925,0.027213883,0.017840987,0.041829146,0.042698234,0.003069818,0.046532944,0.030453905,0.13940375,0.012206285,0.105416335,0.073146805,0.010175062,0.012545996,0.021429064,0.038863514,0.017299652,0.030630473,0.0076864073,0.07423649,0.016092537,0.054765303,0.02497634,0.035197422,0.058801,0.021182114,0.012922598,0.033540428,0.06781503,0.029812947,0.03588458,0.050874118,0.023292525,0.030022422,0.040848028,0.03448718,0.025330763,0.020240458,0.063552275,0.024408508,0.031940516,0.045750923,0.031239558,0.04979987,0.05508584,0.09413945,0.035672314,0.061116252,0.062129978,0.07174601,0.005776755,0.05608804,0.033387627,0.11571847,0.031482685,0.05007691,0.07116086,0.08225082,0.020948542,0.010441461,0.013850287,0.043663856,0.012668351,0.009585602,0.010486113,0.012594219,0.03320426,0.037112676,0.021688048,0.04685269,0.05158339,0.02432742,,,0.13258623,0.022748644,0.036312778,0.075920925,0.06590653,0.035607368,0.023569167,0.017423688,0.047156043,0.046156786,0.0034492007,0.055611834,0.044078115,0.046591364,0.035125624,0.002482351,0.044234574,,0.01385047,0.0026342897,0.0052273776,0.048361283,0.10565004,0.0694386,0.058432717,0.0055168457,0.061153457,0.0075346525,0.023228522,0.03585471,0.0015525871,0.013263629,0.009943256,0.076055676,0.05730833,0.081781425,0.0031768659,0.017276,0.07900632,0.04388214,0.009415108,0.039528348,,0.09884336,0.03773575,0.056854162,0.031346306,0.021382893,0.025823632,0.091525175,0.003592916,0.0059822025,0.027665911,0.022347085,0.013553348,0.031868506,0.0023554878,0.03479901,0.06798343,0.018250326,0.076252945,0.048240732,0.010462626,0.06453963,0.03227141,0.005496491,0.0353173,0.05502823,0.10683739,0.020294534,0.08286212,0.09478703,0.06373487,0.044879053,0.005746405,0.030639306,0.04941171,0.02556062,0.062151928,0.004148699,0.0041923467,0.06047654,0.038619347,0.061392337,0.048742253,0.03165982,0.06644438,0.0070149275,0.009655985,0.010101979,0.020092733,0.049619853,0.0765664,0.062450062,0.07487504,0.003182841,0.03276551,0.014660183,0.013963237,0.026887493,0.0056702625,0.062298797,0.042332854,0.037004687,0.0007905575,0.011382449,0.043891035,0.020060629,0.082803,0.0153480265,0.0060428423,0.056661148,0.033043724,0.03509016,0.032829497,0.043595143,0.014508747,0.050500154,0.043142878,0.0039550527,0.0519051,0.03384116,0.024307935,0.034459095,0.0194799,0.052288543,0.082040794,0.073201895,0.059819996,0.059780814,0.05489667,0.0064494866,0.030379964,0.009449124,0.08141589,0.025011227,0.037614554,0.017595697,0.017508669,0.034144226,0.05109412,0.07827863,0.06571248,0.13532291,0.08749797,0.0118219005,0.019742057,0.013219627,0.02581075,0.06165719,0.004054649
