,mouse,location,network,mean_surr_score,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,Mouse04203,ctr,1,0.1050361796887417,0.10103816426315788,0.1145280765263158,0.11299765394736844,0.10482627078947367,0.10607502899999999,0.11128053247368419,0.11231959957894738,0.11179192131578947,0.11422987268421052,0.10659665121052632,0.10275559315789473
1,Mouse39115,ctr,1,0.09050174323484848,0.07639285909375,0.078031915875,0.07896029990625,0.07581139653125,0.0792901970625,0.07998996925000001,0.07960326975,0.08430659746875002,0.08590737759375001,0.08543994296875002,0.08764530148387097
2,Mouse39121,ctr,1,0.145805418858156,0.14854140861904763,0.15486543576190478,0.1507017623,0.13566650624999999,0.14971297768181818,0.1468184890909091,0.14879175772727274,0.15273189809523813,0.15387838150000002,0.14669369204545452,0.1556850963636364
3,Mouse39122,ctr,1,0.07471281433571429,0.07988984747619049,0.07419751077272728,0.07121806804761903,0.07883058844999999,0.07878253404761905,0.08980445377272726,0.08890519128571427,0.07979958833333334,0.0707428070952381,0.0724105151,0.07057322536363637
4,Mouse39132,ctr,1,0.12681149561313868,0.13305396711111112,0.1375584013846154,0.13685989846153845,0.13243757699999997,0.1405644127777778,0.14050723339285712,0.1397232167037037,0.13890031078571424,0.14364077929629626,0.1368342154074074,0.1370606178518518
5,Mouse39135,ctr,1,0.07738741442201834,0.07507584008333333,0.07362057773076923,0.076060807,0.0780387350952381,0.07478331892,0.07569556963333333,0.07787726962068967,0.08166827325925928,0.08009109279166667,0.07553461460869566,0.07211257452173914
6,Mouse69061,ctr,1,0.088836680392,0.09195634585365854,0.08917258734146341,0.08826113353658536,0.08767848482926828,0.08743393719512194,0.09209976126829268,0.09322323369999999,0.08734201343589741,0.08847883533333331,0.086952449025,0.088821113625
7,Mouse69071,ctr,1,0.11792520953174604,0.1132123395652174,0.11203852054166667,0.10663132869230771,0.11108108884,0.11018933728000001,0.11039299144827586,0.11114210449999996,0.1069715733846154,0.11682442457692307,0.1138448651111111,0.10795239307692309
8,Mouse69075,ctr,1,0.10092162507971016,0.0999204003548387,0.10019795922580645,0.09752051151612903,0.09596603196774196,0.10310790461290323,0.10714211787096772,0.10383728396774196,0.10367496335483872,0.10100137333333331,0.10273660796666666,0.10609543703225809
9,Mouse04203,surr,1,0.1050361796887417,0.10713250374172185,0.10510028282119202,0.10508233605960263,0.10633388350331124,0.1056911675695364,0.1050361796887417,0.10505292296688737,0.10517608900662248,0.10508940823841056,0.10587747173509929,0.10553257266887414
10,Mouse39115,surr,1,0.09050174323484848,0.09246536820799997,0.09254176749599997,0.09259040661904759,0.09241184729921258,0.0918467037109375,0.09080546048854961,0.09062600883593748,0.08959447643307085,0.08894681076190475,0.08962349470161289,0.08843343275999997
11,Mouse39121,surr,1,0.145805418858156,0.14781455487407413,0.14483167191111113,0.1456210041691176,0.14787424208823527,0.14600127362962959,0.145805418858156,0.1452112651407407,0.14460069947407406,0.1441806580367647,0.14525031153731344,0.14289751029104478
12,Mouse39122,surr,1,0.07471281433571429,0.07649765085074628,0.07584910595488721,0.07705534424626864,0.07595772836029412,0.07588923686567162,0.07471281433571428,0.07449914914925372,0.07595316613333332,0.07686870655970146,0.07712080767407406,0.07742932403759396
13,Mouse39132,surr,1,0.12681149561313868,0.12780776490225565,0.1279976888358209,0.12849998300746268,0.12856089262686568,0.126904980037594,0.12681149561313873,0.12686919468421057,0.12713547562121216,0.1271636962985075,0.12828413838805977,0.12844907367164185
14,Mouse39135,surr,1,0.07738741442201834,0.07829897357608692,0.07843034406741568,0.07837173274193543,0.07700705844897955,0.07805446848999996,0.07738741442201828,0.07760962043157892,0.07714848423333331,0.07600614017582413,0.07761461067777777,0.07706119825274724
15,Mouse69061,surr,1,0.088836680392,0.08930404080165286,0.09020439150413219,0.09019581836363633,0.09034799898347103,0.09040475869918695,0.08883668039199996,0.08800677978225802,0.09025886809756095,0.08969271465040651,0.08965169434426232,0.0888956810327869
16,Mouse69071,surr,1,0.11792520953174604,0.11799887700826447,0.11866070450413224,0.11874601495,0.11886727590082644,0.11957716933884298,0.11792520953174605,0.11836868900000003,0.11877069773333336,0.11717979102500002,0.11741328688983053,0.11815936870338985
17,Mouse69075,surr,1,0.10092162507971016,0.10306192283211675,0.10285628480291968,0.10349034724087591,0.10375373181021898,0.10141119347445256,0.10092162507971013,0.10166586675912409,0.10115656357664234,0.10205138155072462,0.10161380000724635,0.099887434459854
0,Mouse04203,ctr,2,0.17163295503973508,0.1623480284210526,0.1838406884210526,0.18799166631578942,0.18346743631578946,0.17397712184210526,0.18229876342105258,0.17105797736842107,0.17508764736842108,0.17981455842105268,0.17779240442105262,0.17782636736842103
1,Mouse39115,ctr,2,0.15874189388636364,0.13170108512499998,0.13102042893749996,0.13363221284374996,0.13509110253124998,0.13730235862499998,0.14229224475,0.14542025803124997,0.14738846353124999,0.15404657634374996,0.15541448696875002,0.16059335296774194
2,Mouse39121,ctr,2,0.17351200885106383,0.1783388242857143,0.179727564,0.17468848220000002,0.1622808859,0.18469186427272727,0.16539085263636363,0.17421695977272728,0.19529306452380954,0.18697001245,0.18083260390909092,0.18826396799999998
3,Mouse39122,ctr,2,0.20665953267142856,0.22861544904761905,0.2028834347272727,0.18882526447619044,0.20940532999999997,0.20615953785714286,0.23841912363636367,0.22626424190476188,0.21917161742857144,0.1935330014285715,0.20325974049999998,0.18901162704545457
4,Mouse39132,ctr,2,0.19290646179562043,0.19832626888888893,0.21496470961538464,0.21484995538461538,0.20864128538461543,0.22572556555555556,0.20986911621428575,0.22206637814814817,0.2179978535714286,0.2130953885185185,0.2041631348148148,0.2010858785185185
5,Mouse39135,ctr,2,0.20183862082568807,0.19780812,0.17969429846153845,0.17800233,0.1666836976190476,0.1781046704,0.19144550066666668,0.20000948137931032,0.2133739603703704,0.20042129250000004,0.2077141143478261,0.18997820695652173
6,Mouse69061,ctr,2,0.147408407256,0.1497706888048781,0.1488971556097561,0.13684759473170727,0.13346261519512193,0.12781148353658536,0.14444990292682924,0.1487187205,0.1421390815128205,0.1405945896410257,0.14111437472500005,0.14460214572500002
7,Mouse69071,ctr,2,0.17041970563492062,0.16070686521739133,0.15372754083333331,0.15391285638461538,0.17153916199999997,0.16199542600000005,0.15737555244827586,0.15664156770833335,0.15486786461538463,0.15383201265384613,0.15381143814814818,0.16123107750000004
8,Mouse69075,ctr,2,0.1600010416521739,0.15141966496774198,0.1595598261290323,0.15700420967741938,0.14137759903225808,0.16389366903225805,0.180124174516129,0.17089151903225805,0.16481722967741935,0.170970292,0.16430917399999997,0.16251558419354842
9,Mouse04203,surr,2,0.17163295503973508,0.1777589813642383,0.17384630778807939,0.17218918434437075,0.17264652586754958,0.1729014202715231,0.17163295503973508,0.1735315753377483,0.17359726487417212,0.17311787699337738,0.17336500107284766,0.17088725219205297
10,Mouse39115,surr,2,0.15874189388636364,0.16233243842399994,0.16333153281599996,0.16216111771428565,0.16092023229921254,0.16226249794531244,0.15978319680152667,0.15621913006249996,0.15681102529133853,0.15487408826984123,0.15436609396774184,0.15373281866399996
11,Mouse39121,surr,2,0.17351200885106383,0.17523285662222227,0.16972641897777785,0.171078063882353,0.17334576326470597,0.1718033439851852,0.17351200885106388,0.17110036274814816,0.17012298756296296,0.17028742615441173,0.16998519891044775,0.16869898410447767
12,Mouse39122,surr,2,0.20665953267142856,0.21100630371641782,0.21113704025563904,0.21279459985074622,0.21004348774999992,0.21126768282835812,0.20665953267142848,0.20809503204477603,0.20991318620740732,0.21188176704477604,0.21191850158518513,0.21376520830827064
13,Mouse39132,surr,2,0.19290646179562043,0.1947363556390978,0.19253147440298513,0.19351120795522395,0.19220779156716422,0.18964705932330825,0.19290646179562043,0.1891540922556391,0.1894513781060606,0.19128687865671642,0.19323587634328357,0.1952733373880596
14,Mouse39135,surr,2,0.20183862082568807,0.20629758005434784,0.20568380432584274,0.2071223934408603,0.204715298367347,0.2068138494500001,0.20183862082568813,0.2021170325789474,0.19805406250000002,0.19714576785714294,0.19986096872222234,0.19858578818681327
15,Mouse69061,surr,2,0.147408407256,0.14529109117355368,0.14674535699999994,0.15059102972727265,0.1516492325950413,0.15365823770731707,0.14740840725599996,0.1450583239596774,0.1469291600731707,0.1470735468943089,0.14641989092622948,0.14475134469672132
16,Mouse69071,surr,2,0.17041970563492062,0.17227511516528926,0.17092486161157028,0.17164474853333334,0.17059908794214873,0.17276804028099174,0.17041970563492065,0.1721094073770492,0.17216364475833332,0.17145955693333334,0.17205230759322032,0.1704450751355932
17,Mouse69075,surr,2,0.1600010416521739,0.16895672148175173,0.16632334559854006,0.16765459100729915,0.17033899932846708,0.16349286436496344,0.16000104165217385,0.16212921728467147,0.16193328994890502,0.16102294436956519,0.16181248907971008,0.16032100476642325
0,Mouse04203,ctr,3,0.05037903963245033,0.04460875278947368,0.03705255952631579,0.04654960826315789,0.05231482793684209,0.042671327094736845,0.045018651052631586,0.049674178315789484,0.05269639557894737,0.046450171578947375,0.05127887847368421,0.04915421836842106
1,Mouse39115,ctr,3,0.06197540123333333,0.06888693068749997,0.0628526407,0.05941425498125,0.05715221374062499,0.055319582615624995,0.057584265709375,0.058108872303124996,0.057810135209375,0.05330912074062499,0.05219311689687499,0.05427034466774193
2,Mouse39121,ctr,3,0.05017139094680852,0.048354179761904766,0.045630450952380955,0.04289029179,0.04612419784999999,0.044789901636363635,0.04177731849545453,0.049114763822727274,0.05911964083333333,0.055324153175000015,0.05285694840454546,0.03973986663636364
3,Mouse39122,ctr,3,0.05015772222142857,0.05349857494285715,0.04984593375454546,0.054023360209523814,0.05191706831,0.04365183340952381,0.037932948263636364,0.04120004118095238,0.05691692364285715,0.05780456977619048,0.05102240976,0.0571538877909091
4,Mouse39132,ctr,3,0.05098671851167883,0.04816202770370371,0.050836406153846145,0.05529299161538459,0.053342278115384605,0.05991758520740739,0.04666808979285715,0.05305783661481481,0.06301989430714285,0.05518294622222222,0.058917502133333334,0.053368668262962965
5,Mouse39135,ctr,3,0.05000069597366972,0.04691481408333332,0.04795154038461539,0.046717357912499986,0.04514664247619048,0.05175393819999999,0.05217169613333332,0.05259677217241379,0.05594871737037038,0.05116975158333334,0.04717489130434783,0.04885994426086956
6,Mouse69061,ctr,3,0.0485012791624,0.044649187707317066,0.048348067560975615,0.04676757504878049,0.05168094621951219,0.04879517157317073,0.04392445058536585,0.048481311462499996,0.047343480935897436,0.0468643537948718,0.045891751012499996,0.0472250288625
7,Mouse69071,ctr,3,0.032446584156746026,0.032006045224782606,0.03241262289875001,0.026340968496153847,0.0329189470308,0.027749394654799996,0.027413381705862064,0.024527026025,0.025154491907692304,0.030860764771153848,0.02917361058888889,0.025086601973076925
8,Mouse69075,ctr,3,0.03123220243985507,0.03296677786451613,0.029546409435483874,0.03264059926774194,0.031822134003225803,0.029739723935483874,0.03142595405483871,0.02988650746774193,0.03442884722580645,0.029185494036666662,0.027273634213333335,0.02493364710322581
9,Mouse04203,surr,3,0.05037903963245033,0.05150454400993375,0.05230049981788076,0.050701700572847654,0.049771927878807916,0.05052870508410593,0.0503790396324503,0.05007986004304634,0.0496929601490066,0.050429876115894015,0.04996715228145693,0.0499542902682119
10,Mouse39115,surr,3,0.06197540123333333,0.057695095939999996,0.05864834288879999,0.05958986855634921,0.06089189708503937,0.06240697372499998,0.061792322158778605,0.06129394802968749,0.062389355203149595,0.06366362595873015,0.06389341168387096,0.06376209343839999
11,Mouse39121,surr,3,0.05017139094680852,0.048706368739259244,0.04916603765037035,0.05029488380147056,0.04980998638014704,0.049647185506666656,0.050171390946808496,0.04876478353629628,0.04789524492592591,0.04897661528602939,0.048476671906716395,0.050817374622388035
12,Mouse39122,surr,3,0.05015772222142857,0.04916822277611942,0.05020102573082712,0.04842932694701496,0.04887561057058827,0.0499355874791045,0.0501577222214286,0.05041448024701496,0.04810866582814818,0.04913526613582093,0.04905997999777782,0.04820463336165418
13,Mouse39132,surr,3,0.05098671851167883,0.05162710198120301,0.050485663652985076,0.05021676891268659,0.04924071124850747,0.0489678656969925,0.05098671851167884,0.049081162065413526,0.04765221852045456,0.04956951930820896,0.04936377418432837,0.050367430240298536
14,Mouse39135,surr,3,0.05000069597366972,0.050310286957934776,0.05203376336101125,0.051238443851935496,0.05235269450234694,0.05116298598229999,0.05000069597366972,0.0506255037908421,0.04738299740255556,0.04956949549703297,0.05084022148033333,0.050040533869560436
