,Mouse,-1,0,1
0,Mouse0912,0.22685469686985016,0.17022813856601715,0.11376722157001495
1,Mouse0912,0.017306163907051086,0.1546708047389984,0.12297356873750687
2,Mouse0912,0.09758727997541428,0.100762277841568,0.07956371456384659
3,Mouse0912,0.12083601951599121,0.089675672352314,0.10219325125217438
4,Mouse0912,0.04975871369242668,0.1194089874625206,0.27080678939819336
5,Mouse0912,0.07717431336641312,0.24122565984725952,0.10393206775188446
6,Mouse0912,0.01226732973009348,0.06685281544923782,0.053768109530210495
7,Mouse0912,0.10951783508062363,0.055128756910562515,0.05829363316297531
8,Mouse0912,0.06722301244735718,0.08184341341257095,0.12577714025974274
9,Mouse0912,0.028669191524386406,0.03900139033794403,0.057093799114227295
10,Mouse0912,0.05816015228629112,0.3030405342578888,0.22511939704418182
11,Mouse0913,0.1606454700231552,0.14983409643173218,0.1515885591506958
12,Mouse0913,0.1889418214559555,0.07559243589639664,0.20023846626281738
13,Mouse0913,0.16636750102043152,0.1122637465596199,0.1249600201845169
14,Mouse0913,0.20834088325500488,0.24543429911136627,0.250284343957901
15,Mouse0913,0.269988477230072,0.19352592527866364,0.13801105320453644
16,Mouse0913,0.14213353395462036,0.13113908469676971,0.11378062516450882
17,Mouse0913,0.10714726150035858,0.12049993872642517,0.13968075811862946
18,Mouse0913,0.10125220566987991,0.14179565012454987,0.11919597536325455
19,Mouse0913,0.1921505481004715,0.23217669129371643,0.1438342034816742
20,Mouse0913,0.11034832894802094,0.2524704933166504,0.1871970295906067
21,Mouse0913,0.16434502601623535,0.18192726373672485,0.08053817600011826
22,Mouse0913,0.1830315738916397,0.15735846757888794,0.1384667307138443
23,Mouse0913,0.2105616331100464,0.28004366159439087,0.2769893705844879
24,Mouse0913,0.16881749033927917,0.27695637941360474,0.1816042959690094
25,Mouse0913,0.24016481637954712,0.1682712584733963,0.1297929883003235
26,Mouse0913,0.36077189445495605,0.11879151314496994,0.2116546779870987
27,Mouse0913,0.1439896821975708,0.14921599626541138,0.23940306901931763
28,Mouse0913,0.21918243169784546,0.24405565857887268,0.18308821320533752
29,Mouse0913,0.195451557636261,0.22883003950119019,0.25075045228004456
30,Mouse0913,0.19121961295604706,0.20980066061019897,0.17082878947257996
31,Mouse0913,0.10432420670986176,0.20217661559581757,0.13107915222644806
32,Mouse0913,0.1952618807554245,0.2705666124820709,0.13867193460464478
