,mouse,expDate,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
37,Mouse0634,091517,4.5664567947387695,0.1248590499162674,0.1992901712656021,0.028493640944361687,4.980161666870117,0.13649868965148926,0.21773086488246918,0.017748195677995682
38,Mouse0634,091817,5.0004143714904785,0.12809687852859497,0.22325654327869415,0.032140009105205536,4.747681617736816,0.119212307035923,0.21328675746917725,0.032859839498996735
39,Mouse0634,092017,4.748079299926758,0.12476256489753723,0.21011291444301605,0.03141585364937782,4.943162441253662,0.12926870584487915,0.2192804217338562,0.028776133432984352
40,Mouse0634,092217,4.554598808288574,0.1186884269118309,0.20237822830677032,0.02447504922747612,4.560908794403076,0.11837238818407059,0.20290157198905945,0.025413615629076958
41,Mouse0634,092517,4.699437141418457,0.12120568007230759,0.20935148000717163,0.02988382801413536,4.729990005493164,0.12074139714241028,0.21155212819576263,0.02768242359161377
42,Mouse0634,092917,4.761987686157227,0.11576447635889053,0.2162034660577774,0.03209119662642479,4.7378435134887695,0.11741697788238525,0.21388472616672516,0.029785549268126488
43,Mouse0634,100217,4.864583969116211,0.12710294127464294,0.21590940654277802,0.02717527188360691,4.646821022033691,0.12332498282194138,0.20525474846363068,0.022880977019667625
44,Mouse0634,100417,4.588983535766602,0.12382649630308151,0.20075027644634247,0.03996109217405319,4.345414161682129,0.1167573481798172,0.19024191796779633,0.04118113964796066
45,Mouse0634,100617,4.835414409637451,0.12856128811836243,0.21327774226665497,0.027764350175857544,4.562567710876465,0.1218046247959137,0.20059923827648163,0.034301478415727615
46,Mouse0634,100917,4.348717212677002,0.11705099791288376,0.1905994564294815,0.03352959826588631,4.546506404876709,0.12215454131364822,0.19964911043643951,0.029260363429784775
47,Mouse0640,091617,2.9945762157440186,0.07042719423770905,0.13592952489852905,0.05297662317752838,3.159508466720581,0.07163583487272263,0.14507590234279633,0.05379259213805199
48,Mouse0640,091917,3.268829107284546,0.07096974551677704,0.15127240121364594,0.07110793888568878,3.404207944869995,0.0775301456451416,0.156031996011734,0.059721555560827255
49,Mouse0640,092117,2.628338575363159,0.0625748261809349,0.11813005805015564,0.06328218430280685,2.6580519676208496,0.06728901714086533,0.11724546551704407,0.060917336493730545
50,Mouse0640,092317,2.5563933849334717,0.060519833117723465,0.11556758731603622,0.050715334713459015,2.4034230709075928,0.05848855897784233,0.10797983407974243,0.04164869338274002
51,Mouse0640,092617,3.2340822219848633,0.07712505012750626,0.14638201892375946,0.05245437100529671,2.942838668823242,0.0717850849032402,0.13256795704364777,0.04055316746234894
52,Mouse0640,093017,2.550375461578369,0.059926945716142654,0.11579830944538116,0.04510686919093132,2.664313316345215,0.06574282050132751,0.11921769380569458,0.04505153000354767
53,Mouse0640,100317,2.7813608646392822,0.06951708346605301,0.12383181601762772,0.04939979314804077,2.653003692626953,0.07023458182811737,0.11635198444128036,0.03465266898274422
54,Mouse0640,100517,2.6911330223083496,0.05793517455458641,0.12455371022224426,0.06484746932983398,2.5279359817504883,0.05786648765206337,0.11495057493448257,0.06152303144335747
55,Mouse0640,100717,2.450805425643921,0.05950239673256874,0.10980813950300217,0.051280196756124496,2.4521946907043457,0.058513790369033813,0.11065780371427536,0.04700254276394844
56,Mouse0640,101017,3.1048038005828857,0.0685373991727829,0.14321619272232056,0.06298662722110748,3.0181267261505127,0.06691265851259232,0.13896304368972778,0.063197560608387
57,Mouse0641,091617,2.978154182434082,0.11229068040847778,0.11110284179449081,0.03568984568119049,2.9080028533935547,0.11095181107521057,0.10785359889268875,0.03173612430691719
58,Mouse0641,091917,2.374267816543579,0.10321328043937683,0.08055679500102997,0.02786286175251007,2.208296537399292,0.1027514711022377,0.07109898328781128,0.022677723318338394
59,Mouse0641,092117,2.406766414642334,0.10373961925506592,0.08215025067329407,0.02893417328596115,2.4877774715423584,0.10665793716907501,0.08536743372678757,0.02725483477115631
60,Mouse0641,092317,2.5778629779815674,0.10697253048419952,0.0904206857085228,0.031052999198436737,2.6790711879730225,0.11186157912015915,0.09372004121541977,0.028716588392853737
61,Mouse0641,092617,2.1407077312469482,0.0875084325671196,0.07602410763502121,0.02211170084774494,2.095424175262451,0.09093046933412552,0.07110346853733063,0.02659611776471138
62,Mouse0641,093017,2.200086832046509,0.09044117480516434,0.07766084372997284,0.02676139399409294,2.570758104324341,0.10224585235118866,0.09310712665319443,0.023310182616114616
63,Mouse0641,100317,1.8989596366882324,0.0918358862400055,0.05880454182624817,0.026230452582240105,1.9117188453674316,0.09513206779956818,0.05787450075149536,0.020676016807556152
64,Mouse0641,100517,2.2144906520843506,0.09573107212781906,0.07534071058034897,0.02852591872215271,2.270775079727173,0.09801149368286133,0.07734020799398422,0.029368655756115913
65,Mouse0641,100717,2.6840598583221436,0.11121401935815811,0.09452541917562485,0.025817345827817917,2.5768301486968994,0.10511267930269241,0.09158581495285034,0.02795233018696308
66,Mouse0641,101017,2.9076638221740723,0.09917834401130676,0.11484174430370331,0.02960565872490406,2.733690023422241,0.09666253626346588,0.10578067600727081,0.03202342242002487
67,Mouse0642,091617,4.919878005981445,0.1242564246058464,0.21961352229118347,0.05677369236946106,5.149533748626709,0.12933532893657684,0.2305987924337387,0.05227477103471756
68,Mouse0642,091917,4.749996185302734,0.12091287225484848,0.21159544587135315,0.05201563984155655,4.646422863006592,0.117120161652565,0.20787107944488525,0.04603562131524086
69,Mouse0642,092117,5.554908275604248,0.13537801802158356,0.25172773003578186,0.04383101314306259,5.764093399047852,0.14274773001670837,0.25992247462272644,0.04433752968907356
70,Mouse0642,092317,5.074962615966797,0.12444227188825607,0.22923165559768677,0.046951841562986374,5.361801624298096,0.12943226099014282,0.24335627257823944,0.050346653908491135
71,Mouse0642,092617,5.178201198577881,0.12278412282466888,0.2364635020494461,0.045428548008203506,4.8684492111206055,0.12932372093200684,0.21461807191371918,0.03221290558576584
72,Mouse0642,093017,4.437196731567383,0.11677666008472443,0.19553260505199432,0.04585045203566551,4.887569427490234,0.1193457841873169,0.22090686857700348,0.04879046604037285
73,Mouse0642,100317,4.57280158996582,0.11839223653078079,0.20294979214668274,0.04047233611345291,4.325018882751465,0.11924554407596588,0.18781110644340515,0.03532581031322479
