,mouse,expDate,pumpTime (ms),-5,-4,-3,-2,-1,0,1,2,3,4
0,Mouse04395,063020,50353,0.08753187209367752,0.10131165385246277,0.10731633007526398,0.08571168035268784,0.10962742567062378,0.06241989880800247,0.0929923802614212,0.11670355498790741,0.0667649433016777,0.09364254772663116
1,Mouse04391,061320,51529,0.11108284443616867,0.08622534573078156,0.09081222116947174,0.05441368743777275,0.11729294061660767,0.07426593452692032,0.025645392015576363,0.026913223788142204,0.04062538221478462,0.012075074948370457
2,Mouse04393,053120,53740,0.0748242512345314,0.09161849319934845,0.09305416792631149,0.08689871430397034,0.06794092059135437,0.09206309169530869,0.05989895761013031,0.07067538052797318,0.07955621927976608,0.05317823216319084
3,Mouse04395,062820,53929,0.13520389795303345,0.10573304444551468,0.10774299502372742,0.1256847232580185,0.03297862783074379,0.09779559820890427,0.06363602727651596,0.10615488886833191,0.045291606336832047,0.0649123564362526
4,Mouse04395,062520,59612,0.08879689872264862,0.08431388437747955,0.07729356735944748,0.09131750464439392,0.09816852957010269,0.0957949310541153,0.0878005400300026,0.10280551016330719,0.10049393028020859,0.08322035521268845
5,Mouse04395,062820,72537,0.07420549541711807,0.08065282553434372,0.1286512017250061,0.07372069358825684,0.08745808899402618,0.08312934637069702,0.040234290063381195,0.05273636057972908,0.06465496867895126,0.08533023297786713
6,Mouse04393,053120,78122,0.051745180040597916,0.08408112823963165,0.06007765606045723,0.058432452380657196,0.08932451903820038,0.08675289899110794,0.04590556398034096,0.08323150128126144,0.08930396288633347,0.08734612911939621
7,Mouse04395,062820,85320,0.07527976483106613,0.08409267663955688,0.07469213008880615,0.02443733997642994,0.11802849918603897,0.09242633730173111,0.06786137819290161,0.06842272728681564,0.06474050879478455,0.07865598052740097
8,Mouse04395,062620,88414,0.05581669509410858,0.11912316083908081,0.11046361923217773,0.09403099119663239,0.06633437424898148,0.07009220868349075,0.061661627143621445,0.10715041309595108,0.09865766018629074,0.07604023814201355
9,Mouse04393,060120,91743,0.09479647129774094,0.08773855865001678,0.042582739144563675,0.06829985976219177,0.061235200613737106,0.07725215703248978,0.08358947187662125,0.08443501591682434,0.06525126844644547,0.10698908567428589
