mouse,mouse-name,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
1.0,Mouse0641,7.0,1.0,-4.443413182766459,-40.12457295676991,0.1206165901212121,0.15552524966666662
1.0,Mouse0641,8.0,1.0,-4.421526391345613,-34.930163634322,0.1213127235,0.16438127017857138
1.0,Mouse0641,9.0,1.0,-4.687979508751718,-39.190973573801735,0.11326119513333331,0.1569956463333333
1.0,Mouse0641,10.0,1.0,-4.444191768134864,-32.97833895862603,0.12059194653846153,0.1681964028846154
1.0,Mouse0641,11.0,1.0,-4.609217767194773,-30.59537885924875,0.11554820859090911,0.17330201954545457
2.0,Mouse39115,7.0,1.0,-5.080424756151188,-33.14554654091241,0.10289285620930234,0.16785742481395344
2.0,Mouse39115,8.0,1.0,-5.332016784633781,-35.49376396525799,0.0970348101627907,0.1633342860465116
2.0,Mouse39115,9.0,1.0,-5.107120052184551,-29.672991762276354,0.10224423530232563,0.1754286752558139
2.0,Mouse39115,10.0,1.0,-4.779972986701937,-23.833883049187822,0.11068214111627907,0.19140371776744186
2.0,Mouse39115,11.0,1.0,-4.733709941134981,-26.641276484109373,0.11196701220930232,0.18311839360465118
3.0,Mouse39121,7.0,1.0,-3.648914286209245,-26.91849124150348,0.1508420189,0.18236592822500003
3.0,Mouse39121,8.0,1.0,-3.6518183223771703,-27.20479722829629,0.15070967804878047,0.1815999536585366
3.0,Mouse39121,9.0,1.0,-3.7722027901537287,-31.916022317898097,0.14538593509756098,0.17040713092682927
3.0,Mouse39121,10.0,1.0,-3.6877136202955825,-28.53957641400513,0.14908940575000001,0.17817076365
3.0,Mouse39121,11.0,1.0,-3.677499396389527,-28.28137376270154,0.14954755893023253,0.17881658860465116
4.0,Mouse39122,7.0,1.0,-6.463343385646571,-10.526094361097739,0.07635714340000001,0.26400082938461544
4.0,Mouse39122,8.0,1.0,-6.575060855487757,-11.440132102544217,0.07470997956923073,0.255576968
4.0,Mouse39122,9.0,1.0,-6.459508161670661,-12.144618501130768,0.07641474027692308,0.24968347876923075
4.0,Mouse39122,10.0,1.0,-6.962268387746094,-12.64893709592469,0.0694269202923077,0.24574246215384615
4.0,Mouse39122,11.0,1.0,-7.140326556095684,-13.180381892843126,0.0671990074,0.24181434276923072
5.0,Mouse39132,7.0,1.0,-6.181104584092363,-19.480057071881877,0.08079333741935486,0.20733420322580642
5.0,Mouse39132,8.0,1.0,-5.9814013560820944,-15.653507714582165,0.08419264132258064,0.2260228325806451
5.0,Mouse39132,9.0,1.0,-6.127350451090169,-15.549041226021183,0.08168599651724137,0.22661929413793103
5.0,Mouse39132,10.0,1.0,-6.205449031448413,-16.27540283577462,0.08039429182758621,0.22258148275862072
5.0,Mouse39132,11.0,1.0,-6.377496033574841,-15.512727844289678,0.07766356848275861,0.2268279146551724
6.0,Mouse39135,7.0,1.0,-6.576596188058607,-14.908513633483201,0.07468774764084507,0.23040023419718317
6.0,Mouse39135,8.0,1.0,-6.5984170531700705,-15.166290381708775,0.07437294086805556,0.2288523814444445
6.0,Mouse39135,9.0,1.0,-6.805057210584938,-16.52863997004851,0.07149605752083334,0.2212313352222223
6.0,Mouse39135,10.0,1.0,-6.7226972407832095,-16.729337828982455,0.07262055182876712,0.22018127846575344
6.0,Mouse39135,11.0,1.0,-6.799954391544293,-15.921734651795559,0.07156490022916667,0.22451600051388892
7.0,Mouse6674,7.0,1.0,-5.766494857633375,-22.45840073351369,0.08811932691891891,0.19597258188288294
7.0,Mouse6674,8.0,1.0,-5.797531552222148,-22.269015444050975,0.08753396303636365,0.1966318996272728
