,mouse,condition,avgScore,avgHCScore,avgTaskScore
0,Mouse28472,ASSB,0.093905486,0.07010038,0.10192676
1,Mouse28473,p65,0.08103033,0.070005395,0.08440532
2,Mouse28474,ASSB,0.09420163,0.048317697,0.10924138
3,Mouse28481,ASSB,0.0789572,0.052184958,0.08891382
4,Mouse78431,p65,0.090210356,0.07336764,0.10483203
5,Mouse95431,p65,0.101477936,0.077447906,0.12070197
6,Mouse95432,ASSB,0.085166454,0.074027404,0.094596505
7,Mouse95433,p65,0.100680105,0.076426,0.12302289
8,Mouse95434,ASSB,0.0967278,0.07952415,0.112392925
