,epm-mean,flx-mean,oft-mean,epm-sterr,flx-sterr,oft-sterr,network
0,0.7288482200276643,0.4336935712065354,0.812208509337918,0.02338474525570939,,0.02644185620406975,0
1,0.4578076199262336,0.5319295676855007,0.37203415574929277,0.019295010177957362,,0.028275313699044364,1
2,0.524100328785792,0.5381875386747313,0.49642122616976486,0.010461858959673132,,0.018951171248624707,2
3,0.4469407672744277,0.42019176856459733,0.33390398458774556,0.021591194083289578,,0.021212386606782558,3
4,0.4511556347170224,0.4513889494127251,0.4441686878018508,0.02339509922678979,,0.034081347453835016,4
5,0.4214743301970483,0.49199632789780867,0.3715279557659625,0.011634185332872445,,0.01792535014080044,5
6,0.44459871360651315,0.44777102815956216,0.5171278837726858,0.015078059423110541,,0.02141228981672232,6
7,0.5151647211140991,0.4719487997396991,0.47428533003849094,0.01893470803999,,0.023761634489524935,7
8,0.4299408123685702,0.569989570532542,0.4751128961723132,0.017017321727354446,,0.04099687824340431,8
9,0.5659583035359677,0.44070266721283374,0.6260776926657791,0.026538083347524784,,0.05141350445185591,9
10,0.4633049971364171,0.4694842207096105,0.4504612237887382,0.01528991321453214,,0.029345793389727787,10
11,0.4973977469134528,0.497394957250804,0.5633132213812757,0.01225588506049103,,0.03361807806338048,11
12,0.42063460362555904,0.5595432532385094,0.37959921334777835,0.011968407548273708,,0.01906099724302243,12
13,0.42708492696341344,0.5727169198499784,0.4078879105087296,0.019009318192578232,,0.032204511201931976,13
14,0.5764307121048717,0.4013440649357818,0.5530380608986609,0.014274516598240245,,0.027235114781743636,14
15,0.4631333795681327,0.5562305173771197,0.4233830726396983,0.014358159331461104,,0.01447068460820959,15
16,0.4820743100421204,0.4484755256132033,0.4274178816948503,0.02081854213142781,,0.01480158336817846,16
17,0.4178993987600181,0.5326605019508043,0.39868087468925384,0.015372646240408296,,0.02192620312181184,17
18,0.3739886391727426,0.5843254400567084,0.32421619009238395,0.02306592138964326,,0.026527682557709372,18
19,0.395121284144709,0.5263255446418974,0.28848422442566396,0.033320186197308796,,0.04112364863386266,19
