,feature,auc,n_networks
0,Amy,0.6066375569995606,23
1,Cg_Cx,0.6076363574093777,29
2,Hipp,0.5330202083602414,5
3,IL_Cx,0.6472726391588408,25
4,Nac,0.6302788739387186,28
5,PrL_Cx,0.6317243308630447,26
6,Thal,0.5964531281233498,8
7,VTA,0.5381339679663085,9
8,Amy-PrL_Cx,0.6034694659641189,11
9,Nac-VTA,0.6011381109062424,12
10,Cg_Cx-PrL_Cx,0.7051086279387889,20
11,Cg_Cx-IL_Cx,0.656591036225206,17
12,IL_Cx-PrL_Cx,0.6934358196867546,27
