scores,y_mouse,y_expDate,y_time,y_flx
16.734999,Mouse99003,072321,1801,1
10.221309,Mouse99003,072321,1802,1
3.7283552,Mouse99003,072321,1803,1
8.910464,Mouse99003,072321,1804,1
11.867174,Mouse99003,072321,1805,1
2.9674294,Mouse99003,072321,1806,1
12.281803,Mouse99003,072321,1807,1
10.234976,Mouse99003,072321,1808,1
11.390291,Mouse99003,072321,1809,1
10.3028345,Mouse99003,072321,1810,1
6.8207393,Mouse99003,072321,1811,1
13.861084,Mouse99003,072321,1812,1
10.218747,Mouse99003,072321,1813,1
10.251696,Mouse99003,072321,1814,1
6.0226984,Mouse99003,072321,1815,1
14.542803,Mouse99003,072321,1816,1
11.349023,Mouse99003,072321,1817,1
10.279384,Mouse99003,072321,1818,1
12.779358,Mouse99003,072321,1819,1
11.453405,Mouse99003,072321,1820,1
7.8055196,Mouse99003,072321,1821,1
9.223746,Mouse99003,072321,1822,1
5.9629865,Mouse99003,072321,1823,1
8.509462,Mouse99003,072321,1824,1
10.689775,Mouse99003,072321,1825,1
9.044747,Mouse99003,072321,1826,1
9.304693,Mouse99003,072321,1827,1
11.128668,Mouse99003,072321,1828,1
8.759097,Mouse99003,072321,1829,1
11.627278,Mouse99003,072321,1830,1
12.879766,Mouse99003,072321,1831,1
9.790719,Mouse99003,072321,1832,1
11.196043,Mouse99003,072321,1833,1
8.066655,Mouse99003,072321,1834,1
3.8192623,Mouse99003,072321,1835,1
7.8665657,Mouse99003,072321,1836,1
8.607638,Mouse99003,072321,1837,1
8.666425,Mouse99003,072321,1838,1
9.029771,Mouse99003,072321,1839,1
14.057707,Mouse99003,072321,1840,1
6.1465735,Mouse99003,072321,1841,1
5.696062,Mouse99003,072321,1842,1
5.682131,Mouse99003,072321,1843,1
11.516517,Mouse99003,072321,1844,1
10.110756,Mouse99003,072321,1845,1
10.103542,Mouse99003,072321,1847,1
10.25347,Mouse99003,072321,1848,1
7.771745,Mouse99003,072321,1849,1
13.254703,Mouse99003,072321,1850,1
10.551075,Mouse99003,072321,1851,1
9.359324,Mouse99003,072321,1852,1
8.545023,Mouse99003,072321,1853,1
7.647204,Mouse99003,072321,1854,1
7.189086,Mouse99003,072321,1855,1
6.6736755,Mouse99003,072321,1856,1
7.7852526,Mouse99003,072321,1857,1
11.977304,Mouse99003,072321,1858,1
7.5562773,Mouse99003,072321,1859,1
9.986062,Mouse99003,072321,1860,1
7.867701,Mouse99003,072321,1861,1
10.765748,Mouse99003,072321,1862,1
9.63629,Mouse99003,072321,1863,1
10.2866335,Mouse99003,072321,1864,1
11.564617,Mouse99003,072321,1865,1
9.166745,Mouse99003,072321,1866,1
12.022401,Mouse99003,072321,1867,1
4.7109356,Mouse99003,072321,1868,1
9.395605,Mouse99003,072321,1869,1
11.028018,Mouse99003,072321,1870,1
6.492707,Mouse99003,072321,1871,1
11.645071,Mouse99003,072321,1872,1
13.537828,Mouse99003,072321,1873,1
14.381418,Mouse99003,072321,1874,1
8.256164,Mouse99003,072321,1875,1
5.525883,Mouse99003,072321,1876,1
12.230112,Mouse99003,072321,1877,1
8.88592,Mouse99003,072321,1878,1
7.325197,Mouse99003,072321,1879,1
10.148881,Mouse99003,072321,1880,1
12.402932,Mouse99003,072321,1882,1
12.45892,Mouse99003,072321,1883,1
12.699247,Mouse99003,072321,1884,1
11.932231,Mouse99003,072321,1885,1
14.691921,Mouse99003,072321,1886,1
12.695799,Mouse99003,072321,1887,1
9.665967,Mouse99003,072321,1888,1
8.916248,Mouse99003,072321,1889,1
7.736365,Mouse99003,072321,1890,1
7.08989,Mouse99003,072321,1891,1
7.1355896,Mouse99003,072321,1892,1
13.275601,Mouse99003,072321,1893,1
7.892228,Mouse99003,072321,1894,1
8.229287,Mouse99003,072321,1895,1
10.631704,Mouse99003,072321,1896,1
10.103059,Mouse99003,072321,1897,1
9.536017,Mouse99003,072321,1898,1
11.746103,Mouse99003,072321,1899,1
15.05816,Mouse99003,072321,1900,1
10.077935,Mouse99003,072321,1901,1
13.145163,Mouse99003,072321,1902,1
10.71315,Mouse99003,072321,1903,1
10.48849,Mouse99003,072321,1904,1
10.85418,Mouse99003,072321,1905,1
9.753302,Mouse99003,072321,1906,1
12.034401,Mouse99003,072321,1907,1
8.415704,Mouse99003,072321,1908,1
10.479993,Mouse99003,072321,1909,1
8.180738,Mouse99003,072321,1910,1
8.115814,Mouse99003,072321,1911,1
9.2403,Mouse99003,072321,1912,1
8.116426,Mouse99003,072321,1913,1
10.100168,Mouse99003,072321,1914,1
6.8813457,Mouse99003,072321,1915,1
11.142084,Mouse99003,072321,1916,1
10.260134,Mouse99003,072321,1917,1
10.641811,Mouse99003,072321,1918,1
11.521724,Mouse99003,072321,1919,1
12.430768,Mouse99003,072321,1920,1
12.534194,Mouse99003,072321,1921,1
8.465325,Mouse99003,072321,1922,1
10.779202,Mouse99003,072321,1923,1
7.7864184,Mouse99003,072321,1924,1
12.360437,Mouse99003,072321,1925,1
12.024203,Mouse99003,072321,1926,1
9.8440275,Mouse99003,072321,1927,1
6.9153495,Mouse99003,072321,1928,1
7.188565,Mouse99003,072321,1929,1
10.037132,Mouse99003,072321,1930,1
8.184238,Mouse99003,072321,1931,1
7.21585,Mouse99003,072321,1932,1
13.997229,Mouse99003,072321,1933,1
8.707661,Mouse99003,072321,1934,1
7.4240646,Mouse99003,072321,1935,1
6.3771195,Mouse99003,072321,1936,1
11.560983,Mouse99003,072321,1937,1
13.036763,Mouse99003,072321,1938,1
7.4039044,Mouse99003,072321,1939,1
12.279114,Mouse99003,072321,1940,1
7.2708564,Mouse99003,072321,1941,1
8.6072235,Mouse99003,072321,1943,1
9.730386,Mouse99003,072321,1944,1
10.566788,Mouse99003,072321,1945,1
10.594823,Mouse99003,072321,1946,1
11.141723,Mouse99003,072321,1947,1
4.6245084,Mouse99003,072321,1948,1
5.008109,Mouse99003,072321,1949,1
7.9790416,Mouse99003,072321,1950,1
7.84972,Mouse99003,072321,1951,1
11.997551,Mouse99003,072321,1952,1
9.958281,Mouse99003,072321,1953,1
16.7311,Mouse99003,072321,1954,1
10.395286,Mouse99003,072321,1955,1
11.268886,Mouse99003,072321,1956,1
12.1416,Mouse99003,072321,1957,1
12.228634,Mouse99003,072321,1958,1
13.015401,Mouse99003,072321,1959,1
15.051606,Mouse99003,072321,1960,1
5.7882423,Mouse99003,072321,1961,1
12.2266445,Mouse99003,072321,1962,1
9.093762,Mouse99003,072321,1963,1
5.0066056,Mouse99003,072321,1964,1
8.713497,Mouse99003,072321,1965,1
13.37116,Mouse99003,072321,1966,1
9.797004,Mouse99003,072321,1967,1
6.497506,Mouse99003,072321,1968,1
10.35525,Mouse99003,072321,1969,1
10.011295,Mouse99003,072321,1970,1
12.421223,Mouse99003,072321,1971,1
12.18503,Mouse99003,072321,1972,1
14.713709,Mouse99003,072321,1973,1
