,mouse,decision,-3,-2,-1,0,1
0,Mouse39115,center->open,0.21901669499999998,0.11676942,0.131319873,0.19397636499999998,0.164312275
1,Mouse39121,center->open,0.176761565,0.08623005,0.258117515,0.16498469,0.212486365
2,Mouse39122,center->open,0.239385045,0.22142593,0.27221750166666664,0.26105657499999996,0.2688627433333333
3,Mouse39132,center->open,0.25978258,0.10177574,0.22622107,0.18600668,0.099649355
4,Mouse39135,center->open,0.2390122233333333,0.21047988333333334,0.21809284333333334,0.17361897,0.25706460666666664
5,Mouse69061,center->open,0.21640417,0.14577498,0.20727612,0.31781048,0.1499063
6,Mouse69071,center->open,0.11194881300000001,0.15881932999999998,0.1683292,0.073169605,0.17450523499999998
7,Mouse0641,center->closed,0.22958508000000002,0.16258977999999996,0.15913851,0.20004638999999996,0.17040513399999999
8,Mouse39115,center->closed,0.22988587333333332,0.17390003,0.14458350333333334,0.24990934333333334,0.20035693666666665
9,Mouse39121,center->closed,0.1813028333333333,0.1928714566666667,0.15951078333333332,0.16430292666666668,0.16555228
10,Mouse39122,center->closed,0.269812192,0.23898506399999997,0.25487111799999995,0.31115145,0.260817348
11,Mouse39132,center->closed,0.19201684000000002,0.2925053925,0.2347766075,0.2533045425,0.231506115
12,Mouse39135,center->closed,0.2693924656666667,0.2349185583333333,0.20786232933333335,0.25597322833333336,0.2827575466666667
13,Mouse69061,center->closed,0.1433359346,0.17370452800000002,0.1441730405,0.1700884405,0.230944737
14,Mouse69075,center->closed,0.100508116,0.08931405,0.16510792,0.19889183,0.19400434
15,Mouse8893,center->closed,0.13919880099999998,0.177459517,0.166940234,0.13794049000000003,0.136824066
