,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
0,Tone 5,Mouse39111,-10,group 2,0.12829962372779846,0.17585641145706177,0.012820640578866005,4.198089599609375
1,Tone 5,Mouse39111,-9,group 2,0.10888396203517914,0.1359875649213791,0.038859523832798004,3.361999273300171
2,Tone 5,Mouse39111,-8,group 2,0.0989522859454155,0.16046766936779022,0.07595638185739517,3.6997337341308594
3,Tone 5,Mouse39111,-7,group 2,0.08806253224611282,0.10240157693624496,0.06501338630914688,2.616981267929077
4,Tone 5,Mouse39111,-6,group 2,,,,
5,Tone 5,Mouse39111,-5,group 2,,,,
6,Tone 5,Mouse39111,-4,group 2,0.09702835232019424,0.11485650390386581,0.07865529507398605,2.9223365783691406
7,Tone 5,Mouse39111,-3,group 2,0.08902432024478912,0.11963353306055069,0.026557549834251404,2.8859002590179443
8,Tone 5,Mouse39111,-2,group 2,0.0845731869339943,0.14685218036174774,0.10153459757566452,3.3503806591033936
9,Tone 5,Mouse39111,-1,group 2,0.1652263104915619,0.2549927234649658,0.026069579645991325,5.88884973526001
10,Tone 5,Mouse39111,0,group 2,,,,
11,Tone 5,Mouse39111,1,group 2,0.10572218149900436,0.17082038521766663,0.06243395432829857,3.9288766384124756
12,Tone 5,Mouse39111,2,group 2,0.09012679010629654,0.11260763555765152,0.05015280842781067,2.796621322631836
13,Tone 5,Mouse39111,3,group 2,0.07715830206871033,0.10968276113271713,0.05409079045057297,2.623680830001831
14,Tone 5,Mouse39111,4,group 2,0.09872060269117355,0.24482044577598572,0.010728628374636173,5.056744575500488
15,Tone 5,Mouse39111,5,group 2,,,,
16,Tone 5,Mouse39111,6,group 2,0.12422734498977661,0.11791376024484634,0.032844580709934235,3.206573486328125
17,Tone 5,Mouse39111,7,group 2,0.14993052184581757,0.24088184535503387,0.0013908010441809893,5.485899448394775
18,Tone 5,Mouse39111,8,group 2,,,,
19,Tone 5,Mouse39111,9,group 2,0.11419250816106796,0.10139141976833344,0.05674201250076294,2.8500871658325195
20,Tone 5,Mouse39111,10,group 2,0.09052377194166183,0.16981759667396545,0.05725882202386856,3.7595503330230713
21,Tone 5,Mouse39111,11,group 2,0.10395032912492752,0.11854404211044312,0.030310476198792458,3.01664400100708
22,Tone 5,Mouse39111,12,group 2,0.1062699630856514,0.11037932336330414,0.052715495228767395,2.9194371700286865
23,Tone 5,Mouse39111,13,group 2,0.07758769392967224,0.1262192279100418,0.021556517109274864,2.880072832107544
24,Tone 5,Mouse39111,14,group 2,,,,
25,Tone 5,Mouse39111,15,group 2,0.11678670346736908,0.13965758681297302,0.05958898365497589,3.5155930519104004
26,Tone 5,Mouse39111,16,group 2,,,,
27,Tone 5,Mouse39111,17,group 2,,,,
28,Tone 5,Mouse39111,18,group 2,,,,
29,Tone 5,Mouse39111,19,group 2,,,,
30,Tone 5,Mouse39111,20,group 2,0.13171492516994476,0.15759927034378052,0.022250058129429817,3.9339494705200195
31,Tone 5,Mouse39111,21,group 2,,,,
32,Tone 5,Mouse39111,22,group 2,0.10248532891273499,0.11248994618654251,0.029976438730955124,2.901109218597412
33,Tone 5,Mouse39111,23,group 2,0.1364380121231079,0.21135550737380981,0.06105032563209534,4.9045939445495605
