,mouse,geno,-2,-1,0
0,Mouse0912,clck,0.088535814,0.083417038875,0.074086813
1,Mouse0913,clck,0.047998005071428575,0.05930489199999999,0.05927447314285715
2,Mouse2401,clck,0.06847500800000002,0.081260947,0.0653918101
3,Mouse3881,clck,0.09833237,0.093268598,0.09489738866666668
4,Mouse3882,clck,0.06814485675000001,0.07965101150000001,0.0647078425
5,Mouse3883,clck,0.06637343823076923,0.06446268776923078,0.06471006976923077
6,Mouse69841,clck,0.05824927966666666,0.037206911333333335,0.0073832954
7,Mouse69872,clck,0.02941747171111111,0.03478523566666667,0.03812392392222222
8,Mouse69873,clck,0.06108157166666667,0.04210546066666667,0.08929385166666666
9,Mouse0914,wt,0.0560348605,0.05400352025,0.054876893375
10,Mouse2402,wt,0.05464556436666667,0.06573160188888888,0.05804944344444445
11,Mouse2403,wt,0.06122074895,0.04993184775000001,0.05470792164999999
12,Mouse30391,wt,0.020357794,0.0184105895,0.026495368
13,Mouse30392,wt,0.016091272,0.029421661,0.04981284
14,Mouse69861,wt,0.029199763500000003,0.015869230499999998,0.028391332
15,Mouse69862,wt,0.035864923,0.025643606,0.0069837375
