,mouse,geno,decision,-2,-1,0
0,Mouse0912,clck,center->open,0.134969026,0.09169010699999999,0.0670556848
1,Mouse0913,clck,center->open,0.1073683875,0.130771381,0.12898329916666665
2,Mouse2401,clck,center->open,0.167677665,0.12842817566666667,0.17891123500000003
3,Mouse3881,clck,center->open,0.08719098666666665,0.11410638666666667,0.10459471066666666
4,Mouse3882,clck,center->open,0.17348300333333333,0.13715332666666666,0.16049903333333335
5,Mouse3883,clck,center->open,0.12739261124999998,0.156992105,0.16854592124999998
6,Mouse69841,clck,center->open,0.099363605,0.0714509215,0.10485496
7,Mouse69872,clck,center->open,0.13629217,0.169665812,0.15716124199999998
8,Mouse69873,clck,center->open,0.25622965,0.15614483,0.09969715800000001
9,Mouse0912,clck,center->closed,0.103417894,0.08783978726315787,0.12252089952631581
10,Mouse0913,clck,center->closed,0.167397056875,0.16540927825,0.16528530937500002
11,Mouse2401,clck,center->closed,0.12654700945454544,0.1423615481818182,0.12972679636363635
12,Mouse3881,clck,center->closed,0.09965017369230772,0.08800906661538463,0.0813188963076923
13,Mouse3882,clck,center->closed,0.12749137424000004,0.15345542924000002,0.14423155027999998
14,Mouse3883,clck,center->closed,0.16670723857142858,0.18102716357142853,0.16697131178571428
15,Mouse69841,clck,center->closed,0.09286080727777776,0.1017672626111111,0.10010790194444447
16,Mouse69872,clck,center->closed,0.14267536366666667,0.16985742426666667,0.15602965733333332
17,Mouse69873,clck,center->closed,0.15604590386363637,0.14454047386363636,0.15617631
