mouse,surr_mean_time,ctr_means_time
Mouse04203,218.09842519685037,181.24242424242425
Mouse39115,177.59565217391304,216.13207547169816
Mouse39121,178.44268774703556,199.87878787878788
Mouse39122,197.42236024844715,240.81818181818187
Mouse39132,167.23308270676694,178.7962962962963
Mouse39135,160.13488372093025,173.93023255813955
Mouse69061,189.15476190476193,206.86363636363637
Mouse69071,184.12363636363636,204.16279069767438
Mouse69075,158.79615384615386,170.1632653061224
