mouse,surround perc,surr_mean_time,center perc,center_mean_time
Mouse39121,0.9033333333333333,147.99261992619927,0.09666666666666666,173.93103448275863
Mouse39135,0.8266666666666667,147.3266129032258,0.17333333333333334,165.6346153846154
Mouse69061,0.81,141.83539094650206,0.19,187.43859649122808
Mouse04203,0.9033333333333333,149.47232472324723,0.09666666666666666,160.10344827586206
Mouse39115,0.8566666666666667,144.57198443579767,0.14333333333333334,185.93023255813952
Mouse39122,0.88,148.51136363636363,0.12,165.08333333333334
Mouse69071,0.8333333333333334,140.16,0.16666666666666666,202.2
Mouse69075,0.8366666666666667,148.86454183266932,0.16333333333333333,158.87755102040816
Mouse39132,0.82,149.9390243902439,0.18,153.05555555555554
