,Mouse,-1,0,1
0,Mouse0912,0.07935470342636108,0.05304531380534172,0.06422167271375656
1,Mouse0912,0.008128931745886803,0.06936818361282349,0.06708649545907974
2,Mouse0912,0.06320634484291077,0.03767887502908707,0.03478001058101654
3,Mouse0912,0.04572577774524689,0.047140974551439285,0.05281178653240204
4,Mouse0912,0.03543822839856148,0.04843589663505554,0.1169087290763855
5,Mouse0912,0.056371577084064484,0.10786876827478409,0.050127264112234116
6,Mouse0912,0.01633317768573761,0.05925671011209488,0.033549316227436066
7,Mouse0912,0.016355279833078384,0.013508840464055538,0.008272707462310791
8,Mouse0912,0.010375832207500935,0.012549147009849548,0.02634815126657486
9,Mouse0912,0.005693940445780754,0.00789797492325306,0.008906414732336998
10,Mouse0912,0.011146686971187592,0.06049659848213196,0.03348466753959656
11,Mouse0913,0.030750880017876625,0.04100235924124718,0.05867800489068031
12,Mouse0913,0.0749521479010582,0.00825679674744606,0.09191317111253738
13,Mouse0913,0.060304906219244,0.052817463874816895,0.044005222618579865
14,Mouse0913,0.09628285467624664,0.06584449857473373,0.08983097225427628
15,Mouse0913,0.08937813341617584,0.07329008728265762,0.04617984965443611
16,Mouse0913,0.04506443068385124,0.032863643020391464,0.030346309766173363
17,Mouse0913,0.06050912290811539,0.07867497205734253,0.06009121239185333
18,Mouse0913,0.05545921251177788,0.04419923573732376,0.044871896505355835
19,Mouse0913,0.08052632957696915,0.10120033472776413,0.05152192339301109
20,Mouse0913,0.08326377719640732,0.08637463301420212,0.08248759061098099
21,Mouse0913,0.05905553326010704,0.05471101030707359,0.020649027079343796
22,Mouse0913,0.06166333332657814,0.07222452759742737,0.05836121737957001
23,Mouse0913,0.08772043138742447,0.1313128024339676,0.11891315132379532
24,Mouse0913,0.06608946621417999,0.09533972293138504,0.10460011661052704
25,Mouse0913,0.08629042655229568,0.06735145300626755,0.04768197238445282
26,Mouse0913,0.11897820234298706,0.04994690418243408,0.057961542159318924
27,Mouse0913,0.049711912870407104,0.07142818719148636,0.0962313562631607
28,Mouse0913,0.10431936383247375,0.10691335052251816,0.08745649456977844
29,Mouse0913,0.0967993438243866,0.11098793148994446,0.0843338742852211
30,Mouse0913,0.10276726633310318,0.08621490746736526,0.09025878459215164
31,Mouse0913,0.0476076602935791,0.09944124519824982,0.05435062572360039
32,Mouse0913,0.06445129960775375,0.11194620281457901,0.07613957673311234
33,Mouse0913,0.1567171812057495,0.059749651700258255,0.08793364465236664
34,Mouse0913,0.06325630098581314,0.0659603402018547,0.044119998812675476
35,Mouse0913,0.06293436884880066,0.08180982619524002,0.10251021385192871
