,comp score,net 1 scores,net 2 scores,net 3 scores,flx,mouse,time,expDate,auc (last-30-minutes),net 1 auc (last-30-minutes),net 2 auc (last-30-minutes),net 3 auc (last-30-minutes)
10914,4.867052,0.15257326,0.2017618,0.011817211,1.0,Mouse78751,1,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10915,2.690914,0.09465474,0.10309106,0.062066868,1.0,Mouse78751,3,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10916,4.9934535,0.16681607,0.20111004,0.008729419,1.0,Mouse78751,4,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10917,3.0822299,0.07719428,0.13581893,0.085068315,1.0,Mouse78751,5,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10918,3.1194646,0.09138784,0.13182521,0.03641957,1.0,Mouse78751,6,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10919,3.3287644,0.12995434,0.12309637,0.0047627115,1.0,Mouse78751,7,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10920,2.2998035,0.074402116,0.093449414,0.017859006,1.0,Mouse78751,8,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10921,2.039751,0.084936045,0.071892835,0.01260515,1.0,Mouse78751,9,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10922,3.502489,0.13795938,0.12597021,0.07028358,1.0,Mouse78751,10,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10923,5.216564,0.1608747,0.215692,0.061488416,1.0,Mouse78751,11,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10924,4.342606,0.10420768,0.19796222,0.02927322,1.0,Mouse78751,12,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10925,4.45157,0.111544974,0.20046695,0.022824792,1.0,Mouse78751,13,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10926,2.3284879,0.10317477,0.076330855,0.06250139,1.0,Mouse78751,14,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10927,5.4961452,0.15256274,0.23911396,0.020661814,1.0,Mouse78751,15,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10928,2.501934,0.092430376,0.09460159,0.026622437,1.0,Mouse78751,16,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10929,4.260662,0.13938643,0.17230761,0.03100176,1.0,Mouse78751,17,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10930,3.4640443,0.13186136,0.12703654,0.07512587,1.0,Mouse78751,18,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10931,4.860221,0.13249071,0.21359314,0.0015853951,1.0,Mouse78751,19,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
10932,3.5991755,0.106633745,0.15301113,0.0048161647,1.0,Mouse78751,20,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
