mouse,surround perc,center perc,sum perc
Mouse39121,0.8985074626865671,0.10149253731343283,1.0
Mouse39135,0.8404907975460123,0.15950920245398773,1.0
Mouse69061,0.8116343490304709,0.1883656509695291,1.0
Mouse04203,0.9090909090909091,0.09090909090909091,1.0
Mouse39115,0.8348082595870207,0.16519174041297935,1.0
Mouse39122,0.8444444444444444,0.15555555555555556,1.0
Mouse69071,0.8516483516483516,0.14835164835164835,1.0
Mouse69075,0.8411214953271028,0.1588785046728972,1.0
Mouse39132,0.8260869565217391,0.17391304347826086,1.0
