mouse,split,time-in-task,OpenArmPerc,ClosedArmPerc,CenterPerc
Mouse04201,train,314,0.1464968152866242,0.732484076433121,0.12101910828025478
Mouse04202,train,326,0.09815950920245399,0.754601226993865,0.147239263803681
Mouse04205,train,9,0.2222222222222222,0.7777777777777778,0.0
Mouse04215,train,352,0.056818181818181816,0.8267045454545454,0.11647727272727272
Mouse0630,train,595,0.2,0.6941176470588235,0.10588235294117647
Mouse0634,train,555,0.14774774774774774,0.6288288288288288,0.22342342342342342
Mouse0643,train,169,0.21301775147928995,0.6923076923076923,0.09467455621301775
Mouse1551,train,589,0.2546689303904924,0.629881154499151,0.11205432937181664
Mouse39114,train,198,0.10101010101010101,0.5505050505050505,0.3434343434343434
Mouse39124,train,337,0.16913946587537093,0.6023738872403561,0.228486646884273
Mouse39133,train,368,0.125,0.6983695652173914,0.17391304347826086
Mouse6291,train,599,0.20701168614357263,0.6911519198664441,0.1018363939899833
Mouse6292,train,594,0.12626262626262627,0.7996632996632996,0.07407407407407407
Mouse6293,train,597,0.21775544388609716,0.7085427135678392,0.07370184254606366
Mouse69064,train,292,0.2910958904109589,0.547945205479452,0.14726027397260275
Mouse69074,train,332,0.24096385542168675,0.5572289156626506,0.19578313253012047
Mouse8580,train,487,0.23203285420944558,0.6344969199178645,0.13347022587268995
Mouse8581,train,371,0.261455525606469,0.5175202156334232,0.2210242587601078
Mouse8582,train,33,0.36363636363636365,0.45454545454545453,0.18181818181818182
Mouse8891,train,579,0.20898100172711573,0.7150259067357513,0.07599309153713299
Mouse8894,train,346,0.21098265895953758,0.7225433526011561,0.06647398843930635
Mouse04193,val,289,0.2179930795847751,0.6782006920415224,0.08996539792387544
Mouse0633,val,598,0.22742474916387959,0.6939799331103679,0.07859531772575251
Mouse0642,val,549,0.29143897996357016,0.604735883424408,0.10382513661202186
Mouse39125,val,284,0.14788732394366197,0.6161971830985915,0.2323943661971831
Mouse69065,val,380,0.26052631578947366,0.5552631578947368,0.18157894736842106
Mouse0641,test,260,0.2230769230769231,0.6192307692307693,0.1576923076923077
Mouse39115,test,343,0.12536443148688048,0.6618075801749271,0.21282798833819241
Mouse39121,test,346,0.1329479768786127,0.6965317919075145,0.1676300578034682
Mouse39122,test,328,0.20426829268292682,0.6128048780487805,0.1798780487804878
Mouse39132,test,290,0.11724137931034483,0.6896551724137931,0.19310344827586207
Mouse39135,test,322,0.2329192546583851,0.5527950310559007,0.21428571428571427
Mouse6674,test,596,0.18959731543624161,0.7281879194630873,0.025167785234899327
Mouse69061,test,365,0.18356164383561643,0.663013698630137,0.14794520547945206
Mouse69071,test,346,0.21965317919075145,0.6763005780346821,0.09826589595375723
Mouse69075,test,316,0.14240506329113925,0.7025316455696202,0.14873417721518986
Mouse8893,test,564,0.13297872340425532,0.7553191489361702,0.11170212765957446
