,mouse,decision,-2,-1,0
0,Mouse0641,center->open,0.017349562,0.09456503,0.13914755
1,Mouse39115,center->open,0.04938189466666666,0.047887137555555556,0.04791197377777777
2,Mouse39121,center->open,0.037484710375,0.040336021125,0.046755422874999994
3,Mouse39122,center->open,0.031663099449999996,0.029964626349999995,0.05676819439999999
4,Mouse39132,center->open,0.0315654286,0.022634782,0.05663050760000001
5,Mouse39135,center->open,0.052774918500000004,0.06517579625,0.0589465475
6,Mouse6674,center->open,0.08932283499999999,0.044333471,0.049142896
7,Mouse69061,center->open,0.041751994,0.019243220999999998,0.037120208
8,Mouse69071,center->open,0.015180623785714286,0.023630727914285714,0.047785811571428576
9,Mouse69075,center->open,0.03846552566,0.054741657,0.0335061936
10,Mouse8893,center->open,0.06190508566666667,0.065961457,0.09792216999999999
11,Mouse0641,center->closed,0.062048210666666666,0.08147372716666666,0.051206926283333336
12,Mouse39115,center->closed,0.04643910533333334,0.07136757333333334,0.049631134
13,Mouse39121,center->closed,0.049013997000000004,0.058647631250000005,0.0348009075
14,Mouse39122,center->closed,0.026381745175,0.0221475379625,0.07083887762499999
15,Mouse39132,center->closed,0.0714140062,0.0448898456,0.0360919775
16,Mouse39135,center->closed,0.05144636095000001,0.058474494375,0.030608483800000003
17,Mouse69061,center->closed,0.04173859870833333,0.030631224141666663,0.030128549000000004
18,Mouse69075,center->closed,0.046008147,0.0472813545,0.039548997
19,Mouse8893,center->closed,0.04778872301428572,0.06172836542857143,0.0743963027142857
