5_minute_net_1_scores,5_minute_net_2_scores,5_minute_time,5_minute_mouse,5_minute_flx,5_minute_expDate
0.09448083,0.13971023,3300,Mouse78745,1.0,040623
0.10659865,0.13334692,0,Mouse78751,0.0,040723
0.10380266,0.12444605,300,Mouse78751,0.0,040723
0.10072298,0.12244859,600,Mouse78751,0.0,040723
0.09921935,0.116058186,900,Mouse78751,0.0,040723
0.10124032,0.113652855,1200,Mouse78751,0.0,040723
0.101249896,0.1200436,1500,Mouse78751,0.0,040723
0.09831371,0.11266872,1800,Mouse78751,0.0,040723
0.10437409,0.10625144,2100,Mouse78751,0.0,040723
0.09858296,0.10945056,2400,Mouse78751,0.0,040723
0.100019224,0.111602016,2700,Mouse78751,0.0,040723
0.09736543,0.11144458,3000,Mouse78751,0.0,040723
0.104706936,0.10978633,3300,Mouse78751,0.0,040723
0.11595364,0.13691157,0,Mouse78751,1.0,040723
0.110309795,0.13030092,300,Mouse78751,1.0,040723
0.107884414,0.12277067,600,Mouse78751,1.0,040723
0.10661309,0.12941664,900,Mouse78751,1.0,040723
0.10618982,0.12897642,1200,Mouse78751,1.0,040723
0.10644648,0.122637175,1500,Mouse78751,1.0,040723
0.10416098,0.11810852,1800,Mouse78751,1.0,040723
0.10501134,0.11360777,2100,Mouse78751,1.0,040723
0.10514296,0.11993829,2400,Mouse78751,1.0,040723
0.10161768,0.119728774,2700,Mouse78751,1.0,040723
0.101590425,0.11768087,3000,Mouse78751,1.0,040723
0.105131365,0.1196026,3300,Mouse78751,1.0,040723
0.08155643,0.14446111,0,Mouse78764,0.0,040723
0.080593295,0.1451888,300,Mouse78764,0.0,040723
0.07425039,0.14249563,600,Mouse78764,0.0,040723
0.07277302,0.14127503,900,Mouse78764,0.0,040723
0.08192818,0.14103195,1200,Mouse78764,0.0,040723
0.08060432,0.1407649,1500,Mouse78764,0.0,040723
0.08029266,0.13701297,1800,Mouse78764,0.0,040723
0.077534735,0.13607605,2100,Mouse78764,0.0,040723
0.074516185,0.13592231,2400,Mouse78764,0.0,040723
0.07919542,0.12955208,2700,Mouse78764,0.0,040723
0.07706768,0.1354297,3000,Mouse78764,0.0,040723
0.0754489,0.13455603,3300,Mouse78764,0.0,040723
0.090167895,0.16028409,0,Mouse78764,1.0,040723
0.09028745,0.15771095,300,Mouse78764,1.0,040723
0.089230865,0.16242103,600,Mouse78764,1.0,040723
0.08315636,0.15657169,900,Mouse78764,1.0,040723
0.0850055,0.15686518,1200,Mouse78764,1.0,040723
0.07770851,0.16169243,1500,Mouse78764,1.0,040723
0.08316728,0.15412118,1800,Mouse78764,1.0,040723
0.08246719,0.15460706,2100,Mouse78764,1.0,040723
0.08277013,0.15250795,2400,Mouse78764,1.0,040723
0.08287352,0.15570758,2700,Mouse78764,1.0,040723
0.0795059,0.15355884,3000,Mouse78764,1.0,040723
0.083793685,0.15413275,3300,Mouse78764,1.0,040723
