,mouse,geno,-2,-1,0
0,Mouse0912,clck,0.12434177825,0.09907886587499999,0.08540878925
1,Mouse0913,clck,0.13968347100000003,0.14680820604761907,0.16787009695238095
2,Mouse2401,clck,0.13439313549999998,0.14190001519999998,0.16590697649999997
3,Mouse3881,clck,0.08719098666666665,0.11410638666666667,0.10459471066666666
4,Mouse3882,clck,0.18652848,0.14240922,0.1501074915
5,Mouse3883,clck,0.12874252461538463,0.14605313553846153,0.13785965944615386
6,Mouse69841,clck,0.09089987666666666,0.070766873,0.09915931533333333
7,Mouse69872,clck,0.13344515444444444,0.13421720666666667,0.15357862722222224
8,Mouse69873,clck,0.2006247986666667,0.13119583666666668,0.10455999033333334
9,Mouse0914,wt,0.2123786725,0.21579348,0.20714099000000002
10,Mouse2402,wt,0.17668261922222223,0.12363751077777778,0.14700493596666664
11,Mouse2403,wt,0.1516594612,0.14664747545000004,0.165466321
12,Mouse30391,wt,0.16872123,0.1938127,0.22995775999999998
13,Mouse30392,wt,0.19057001,0.13740548,0.16561773
14,Mouse69861,wt,0.085606528,0.0611118025,0.09742891000000001
15,Mouse69862,wt,0.16925459,0.09197556,0.10219894
