,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
0,2.7882295,0.12366652,0.093573056,0.02316577,Mouse67151,,CLOCK,0.0,1,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
1,2.632651,0.116482474,0.0891398,0.007553288,Mouse67151,,CLOCK,0.0,3,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
2,1.5897632,0.079837315,0.04506194,0.07801559,Mouse67151,,CLOCK,0.0,4,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
3,3.818605,0.13724975,0.14542961,0.068357736,Mouse67151,,CLOCK,0.0,5,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
4,2.236664,0.10714283,0.07036691,0.019308053,Mouse67151,,CLOCK,0.0,6,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
5,3.3358874,0.10567285,0.13598582,0.046280343,Mouse67151,,CLOCK,0.0,7,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
6,3.2452428,0.11001222,0.12774631,0.05213574,Mouse67151,,CLOCK,0.0,10,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
7,2.3140588,0.0809835,0.087933116,0.07559605,Mouse67151,,CLOCK,0.0,11,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
8,3.3501368,0.10927359,0.13477503,0.045133144,Mouse67151,,CLOCK,0.0,12,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
9,3.5985231,0.12997636,0.13623853,0.07444952,Mouse67151,,CLOCK,0.0,13,041624,0.670959247790611,0.6392197635784191,0.6708914404538571,0.5555116063558077
