,mouse,decision,-3,-2,-1,0,1
0,Mouse39115,center->open,0.071430273,0.0573688365,0.065958425,0.06108761,0.050482556
1,Mouse39121,center->open,0.0228540785,0.037493702500000003,0.055961037,0.0215664445,0.044172446500000004
2,Mouse39122,center->open,0.051160905166666666,0.02971700923333333,0.031880048583333334,0.05424564216666666,0.036950101549999996
3,Mouse39132,center->open,0.054681595,0.018269487,0.008862013,0.07584867,0.028350003
4,Mouse39135,center->open,0.022065633266666666,0.06542817833333332,0.058195584999999994,0.06818772099999999,0.06211390466666667
5,Mouse69061,center->open,0.044620104,0.044950303,0.0239799,0.047321424,0.040780194
6,Mouse69071,center->open,0.00753029035,0.023481421000000002,0.0042245033500000004,0.0313030865,0.023317244
7,Mouse0641,center->closed,0.0741541176,0.0652545336,0.0811565046,0.057566472339999994,0.07241405000000001
8,Mouse39115,center->closed,0.06366990066666667,0.04643910533333334,0.07136757333333334,0.049631134,0.028330981666666668
9,Mouse39121,center->closed,0.028517873333333332,0.047183852666666665,0.070791645,0.04124016566666666,0.048851950666666664
10,Mouse39122,center->closed,0.03842281660000001,0.03001898728,0.023806556740000002,0.0716772506,0.060228084307999995
11,Mouse39132,center->closed,0.043815770999999996,0.06979835649999999,0.037107947,0.042044132625,0.04726743425
12,Mouse39135,center->closed,0.03077412666666666,0.049234920933333336,0.05330380083333333,0.025842290566666665,0.022240185283333328
13,Mouse69061,center->closed,0.0295496105,0.04043108275,0.035247173869999995,0.027066543800000002,0.024509161629999998
14,Mouse69075,center->closed,0.089685716,0.039389584,0.058517765,0.035153434,0.032024335
15,Mouse8893,center->closed,0.051658801160000004,0.05713085720000001,0.06388235340000001,0.090430739,0.0840627942
