5_minute_net_1_scores,5_minute_net_2_scores,5_minute_time,5_minute_mouse,5_minute_flx,5_minute_expDate
0.10616646,0.12888892,4,Mouse78751,1.0,040723
0.1064718,0.1227122,5,Mouse78751,1.0,040723
0.10410787,0.11787785,6,Mouse78751,1.0,040723
0.10497782,0.11350838,7,Mouse78751,1.0,040723
0.10506864,0.11976123,8,Mouse78751,1.0,040723
0.1014796,0.11954268,9,Mouse78751,1.0,040723
0.10163145,0.11774877,10,Mouse78751,1.0,040723
0.10520546,0.11974982,11,Mouse78751,1.0,040723
0.0816504,0.14461203,0,Mouse78764,0.0,040723
0.080654316,0.1453478,1,Mouse78764,0.0,040723
0.074208625,0.1425443,2,Mouse78764,0.0,040723
0.072757825,0.14107989,3,Mouse78764,0.0,040723
0.082007505,0.14115615,4,Mouse78764,0.0,040723
0.080479436,0.14053006,5,Mouse78764,0.0,040723
0.08035204,0.13719755,6,Mouse78764,0.0,040723
0.077478945,0.13622284,7,Mouse78764,0.0,040723
0.074454755,0.13560091,8,Mouse78764,0.0,040723
0.07909039,0.129468,9,Mouse78764,0.0,040723
0.0769963,0.1351769,10,Mouse78764,0.0,040723
0.075426295,0.13478838,11,Mouse78764,0.0,040723
0.090082325,0.16011213,0,Mouse78764,1.0,040723
0.0902201,0.15780777,1,Mouse78764,1.0,040723
0.08926682,0.1623988,2,Mouse78764,1.0,040723
0.08317774,0.15672524,3,Mouse78764,1.0,040723
0.08495077,0.15680227,4,Mouse78764,1.0,040723
0.077652976,0.1616937,5,Mouse78764,1.0,040723
0.08316999,0.15421441,6,Mouse78764,1.0,040723
0.08244986,0.15479125,7,Mouse78764,1.0,040723
0.082825415,0.15277612,8,Mouse78764,1.0,040723
0.082962416,0.15570167,9,Mouse78764,1.0,040723
0.07954218,0.1535007,10,Mouse78764,1.0,040723
0.0837113,0.15400663,11,Mouse78764,1.0,040723
