,mouse,geno,HC_mean_scores,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,Mouse0911,0.0,0.06238612555072464,,,0.027081463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0945359,,,,,,,,,,,,0.066499926,,,,,,,,,,,,,,,,,,,,,,,,,,0.096221596,,,,0.100186124,,,,,,,,,,0.020899244,,,,,,,,,,,,,0.09205699,0.09387016,,,,,,,,,,,0.047691043,,0.071639,,,,,,0.0834182,,,,,,,,,0.053891994,,0.030852377,,,,,,,,,,,,0.091145955,,,,,,,,,,,,,,,,,,,0.09096338,,,,0.04914203,0.03295166,0.09733068,,,,,,,,,,,,,,,,,,,,,,0.030672029,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0810476,0.051591575,,0.072352804,,,,,,0.08408578,,,,,,,,,,,,,0.040095076,,,,0.0741376,,0.0645415,0.09622267,,,,,,,,0.07509811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mouse0912,1.0,0.055874680613065324,0.05180019,0.08658088,0.09448056,0.077962145,,,0.07079502,0.074601494,0.072569065,0.054433,,0.085117236,,,,,,,,0.058089726,0.06339445,0.04874037,0.03493137,,0.06345122,,0.06862116,,,,,,,,,,,,,0.06292018,0.07660763,0.06103035,0.04280735,0.07954916,0.024647098,0.058025215,0.103392914,,,,,,,0.047966298,0.06585901,0.011970485,0.08568476,0.056174517,0.07019357,0.060984343,,,,0.038393643,0.050069038,0.044257555,0.07829725,0.045938052,0.090224735,0.0840049,,,,,,,0.055365816,0.037944604,0.044672303,0.036214385,0.07406036,0.06968079,0.0709082,0.07097284,0.093394384,0.07537196,0.04368519,0.047479562,0.064951815,0.06136088,,0.05866587,0.09132419,0.077041045,0.052604396,0.09939357,0.07303945,0.08524739,,0.072019346,0.092268184,0.05446101,0.08783308,0.071065664,0.072109275,0.07674166,0.019233666,,0.08620392,0.048488624,0.033505306,0.07909435,0.040919133,0.06873376,0.02410361,0.072379746,0.038226914,0.06616496,0.09320566,0.038677268,0.093789674,0.038010404,0.09713204,0.079402275,0.088913076,0.04810799,0.07072221,0.08588882,0.1064893,0.0572712,0.09214879,0.037328806,0.05319787,0.054180056,0.082266234,0.09899841,0.07629075,0.04317147,0.05680648,,0.054741573,,,0.09565958,0.06005561,0.07488393,0.059736654,0.06931538,0.058337636,0.04441048,0.087189786,0.10078725,0.06305028,0.043696832,0.072640345,0.070008256,0.03929973,0.10152705,0.040022835,,,,,0.023983989,0.06589844,0.0634225,0.11383767,0.08687086,0.042476453,0.08308965,0.035268705,0.05695558,0.06167852,0.11735148,0.062224016,0.08967273,0.06947666,0.04190036,0.05284665,0.06546187,0.031276572,0.044576425,,0.07506336,0.08279397,0.085970975,0.056187794,0.07195883,0.13179132,0.09530508,0.086184606,0.120409355,,,0.036890555,0.038406525,0.09581647,0.09936768,0.058396127,0.09938146,0.08383419,,,,,0.036831703,,,0.057689585,0.070692755,0.08569278,0.09241962,0.072636485,0.07877215,0.10035272,0.0446308,0.03181587,,,,0.07390366,0.08704889,0.088766076,0.061776258,0.07984685,0.09933812,0.039261594,,,,,,,,0.08289507,0.036116034,0.039881893,0.015628133,,,,,,,,,0.080274865,0.052516244,0.06242333,0.07981169,0.060366064,0.07076612,0.07157949,,,,,,,,,,0.034210738,0.055437118,0.098533735,0.067556605,0.044185556,0.04444913,0.07429485,0.03340435,0.09669298,0.1007887,0.033076245,0.06063573,0.05632697,,,,,,0.046776373,,,0.034763582,0.094375506,0.04593648,0.05444755,0.048897408,0.083031386,0.09211528,0.06990765,0.08904481,0.05398236,0.093516886,0.06163528,0.07565695,0.06770617,0.08838685,0.07687693,0.043076545
2,Mouse0913,1.0,0.06594904033507853,0.09533197,0.078240424,0.063582234,0.114320725,0.07465038,0.034569446,0.07233949,,,,,,,0.0854914,0.10007064,,0.07700633,0.047687583,,,,,,,,0.070323765,0.09151198,0.045292083,0.07620664,0.04532211,0.08287249,0.10621422,0.09244825,0.085906714,0.04767631,,,,,,0.07150738,0.09650012,0.096302904,0.040639386,0.060868535,0.062078297,0.0867404,0.08653756,,,,,,,,,,,,,,,,,,,,,,,,0.08670861,0.027179182,0.075716324,0.10489168,0.10091827,0.11552682,0.041081533,,,,,,,0.10392315,0.07358208,0.055366676,0.06423322,0.06156355,0.07337918,0.04268036,,,,,,,,,,0.063688286,0.039837793,0.08882598,0.03926628,0.063601345,0.10885718,0.09956117,0.106039874,0.088578776,,,,0.06303154,,,,,,,,,,,0.057688892,,,,,,,,,0.08491666,0.061796784,0.033965822,0.06915119,0.094131954,0.050137468,,,,,,0.10306003,0.07174676,0.0479476,0.09602918,0.08206642,0.079146504,0.055950064,0.081091575,0.05027276,0.049351268,0.07715984,0.122440144,0.1223322,0.06522621,0.054936837,0.038610063,0.022877585,0.0133489445,,,,,,0.07884628,0.03396203,0.083543025,0.058855932,0.046991374,0.08757043,0.116379224,0.093258336,0.056436084,0.07161299,,,,,,0.08636575,0.087210335,0.033462856,0.04636645,0.115243375,0.096023984,0.101770625,0.12228959,0.053281285,,,,,,0.074188724,0.06113585,0.022722334,0.038826425,0.04908051,0.08713436,,,,,,,,,,,0.03823446,,0.076467015,0.08145692,0.051860165,0.040749513,0.066686,0.08307501,0.09015435,0.056523673,0.08975121,0.06426831,0.08236939,0.091180004,0.057386015,0.077188335,0.09624456,0.04529986,0.050990853,0.088194266,,,,,,,,,,,,,,,0.08577152,0.11582893,0.087954186,0.06776,0.072866865,0.036102243,0.06353074,0.052954905,0.032628886,,,,0.11852643,,,,,,,,,,,,,,,,,,,,,,0.043277703,,,,0.083367646,,0.028576529,,,,,,,,,,,,,,
3,Mouse0914,0.0,0.048321483448295455,0.04638729,0.042561103,0.045610625,0.0526075,,,,,,0.065748155,0.034147017,0.06525957,0.0867025,0.07312064,0.088698745,,,,,,,,,,,,,0.10640552,,,,,,,,,,,,,,,0.11063537,0.037213545,0.0698289,0.06754141,0.089541845,0.040443078,0.08402446,0.048010446,,,,,,,0.023048094,0.065916665,0.04056469,0.043449733,0.06613903,0.06764553,0.06890333,0.07666318,0.046742182,0.08000696,0.08398199,,0.048475284,,0.047793295,,0.048838414,0.06845197,0.091234975,0.054431368,0.039000362,0.041264717,0.08005864,0.034524024,0.09262262,0.09478947,0.0910243,0.06053678,0.05518756,0.069910504,0.08023944,,0.053092606,0.057304922,0.103743546,0.04841434,,0.06615091,,,0.06758271,0.035264388,0.08683103,0.07949212,0.04893247,0.045006704,0.07583989,0.085639715,0.08210173,0.05211116,0.08556072,0.029882623,0.059130598,0.04796124,,0.03168845,0.0046522412,0.058522966,0.04223964,,,0.05516877,,,0.066482775,0.030255679,0.044869248,0.061641824,0.0683442,0.049054176,0.028063346,0.08626926,0.0635343,,0.054405365,0.088221624,0.03511019,,0.085685834,0.021159198,0.0822176,0.06705499,0.08111811,0.09922952,0.026715856,0.047728024,0.06834632,0.06931806,0.06501273,0.054412074,0.07872967,0.043922547,0.05928543,0.09210458,0.03507778,0.059333853,0.028285619,0.060945034,0.05658589,0.08909594,0.09966358,0.060582813,0.050731715,0.08481735,0.07289906,0.061590362,0.048348844,0.034250855,0.081214085,0.025816547,0.06716231,0.05985251,0.10976153,0.054779395,0.032790236,0.02994873,0.10077162,0.07292322,0.05417445,0.062122002,0.11359121,0.055013474,0.0489428,0.057632368,,0.025968213,0.056005288,0.058632,0.041190818,0.09358102,0.067597225,0.07683088,0.066557735,,0.045707453,0.07540362,0.05647316,0.05972568,0.06813833,,,,0.045907255,0.0430053,,0.03697504,0.06604132,0.045015153,0.034188543,0.034196332,0.049542904,0.082941554,0.0827133,0.076129965,0.040325742,0.052988656,0.07293218,0.0500838,0.054347273,0.07055981,0.07937893,0.03517268,0.01152173,0.035279274,0.0458167,,0.093701415,0.061359305,0.06452758,0.06931262,0.10111473,0.098423004,0.061282348,0.031081386,0.06549893,0.01950312,0.027159927,0.038954243,0.03360792,0.06331505,0.07500089,0.058009937,0.10401534,0.0315311,0.060385525,0.06665252,0.025490053,0.034419596,0.069966465,0.07196742,0.08024037,0.049974065,0.02516411,0.0822674,0.072816916,0.042288784,0.06755849,0.07005976,0.024108421,0.026528759,0.053332042,0.030332878,0.03169156,0.049133565,,0.04102733,0.037993174,,0.025415624,0.057947632,0.037632145,0.030624583,0.07731562,0.026729183,0.060181506,,0.041273538,0.041999817,0.04012026,0.050119456,0.05478959,0.099204466,0.042193394,0.0802728,0.08010031,0.065691225,0.061348226,0.05652739,0.07050314,0.102158,0.023289127,0.033443827,0.043403998,0.03549794,0.034544148,0.05198717,0.048343446,0.03664073,0.080260985,0.03621788,0.060518403,0.0728163,0.055419404,0.03717169
4,Mouse2401,1.0,0.06363008007128713,,,,,,,,,,,,0.07040015,,,,,,,0.077589065,,0.10679256,0.09452668,0.07071297,,,,,,,,,,,,0.08605663,0.090904996,,,,,,,,,,0.10243711,0.098936856,0.1296404,0.12243622,,,,0.07922833,,,,,0.1037268,,,,,,0.059875175,0.07640092,,,,0.09840198,,,,,,0.07964592,,,,,,,,,,,,,0.06544237,0.11076836,0.14174178,,,,,,,0.08192594,0.1042343,0.13979231,0.05463888,0.09896583,0.0968905,,,,,,,0.13007571,,,,,,,,,,,0.06438586,,,0.06013152,0.112989314,0.09498002,,,0.04253669,,,,,0.07185123,0.074699625,0.10524362,,,,,,,,,,0.023056751,0.06859008,0.069696106,,0.07026163,,,0.07678489,0.08548669,,,,0.068944804,0.112468615,,,,,,,,0.096872866,0.055876628,0.06228411,,,,,,,,,,,,0.020658873,0.10616891,,,,,,0.05829573,0.054948553,0.09774734,0.07661171,0.10687405,0.09988293,0.0716857,,,,0.08736286,,,,,,,,,0.045476753,,,,,,,,,,,,,,,0.098515086,0.08024227,0.06109254,0.11778868,,0.054353278,0.08793317,0.082562,0.06176507,0.043086585,0.06092485,0.059250265,0.06403106,0.042753313,0.066467665,0.07267449,,,,,0.065860905,0.05905622,0.10307,,,,,,,0.0928727,0.037717335,,0.048572008,0.039721195,,,0.07031422,,,,,,,,,,0.08137306,0.0529546,0.051646993,,,0.07854608,,,,,,,,0.07550738,,,0.03938376,0.04941453,0.091315694,0.09030563,0.055585235,,,0.092880554,0.08792527,0.07766175,0.08540942,,,0.10077277,,,0.08165801,0.13884972
5,Mouse2402,0.0,0.06306136573015873,0.085826576,,0.091112144,,0.075328395,0.10352972,,,,,,,,,,,,0.046637416,0.08218174,0.0518117,0.06909866,,0.078669064,0.087530576,0.046392217,0.044235174,,,,0.07307532,,,,,,,,0.0734135,0.08206769,0.06268643,,0.0986264,,0.026687726,,,,0.048234288,0.04001831,0.06182724,,0.05220333,0.04621634,0.04792385,0.036370546,0.043919433,0.047415603,0.035393674,0.08204012,0.050923113,0.06072214,,,,0.095973,,,,,,0.08434833,0.08091849,0.108697616,0.042913157,0.0528778,0.060949743,0.038759276,,,,,,,,,,,0.02139917,0.05609664,0.06814468,0.038515102,0.028797263,0.10474175,0.047788877,0.05208301,0.058697287,0.061529327,0.050114654,0.085493624,0.03960883,0.1128092,0.084862866,0.060022242,0.110790364,0.10091463,0.049240414,0.0905813,0.09254451,0.066306464,0.077091955,,,,,0.072673805,,,,,,0.0681518,0.029015642,0.063760385,0.09404418,0.09199482,0.09011938,0.057503793,0.06963235,0.09051449,0.06045942,0.020966196,,0.036008377,0.03007806,0.040878396,0.046459373,,,,,,,,,,,0.08186189,0.067755684,0.08195553,0.085920274,0.087434754,0.0586864,0.042826787,0.06685245,0.031673893,0.06486222,0.041359004,0.07232419,0.10878141,0.03142125,0.02566154,,,,,,,,,0.05203919,0.0541852,0.044707358,0.05875954,0.07610681,0.091235764,0.06925068,0.039684087,0.077029645,0.06391315,0.09074931,0.103929624,0.098920755,,,,,,,,0.084054425,0.04839996,0.05311937,0.0777763,0.06970698,,,0.09468609,0.07574559,0.0688719,0.070873626,,,,,,,,0.03381383,0.053234257,0.08091972,0.088435315,0.00860268,0.0701706,0.05137449,0.036648624,0.030358661,0.046888627,0.045168377,0.10189726,0.12165463,0.09135565,0.074185625,0.08010556,0.0862129,0.0834533,0.056477256,0.08749284,0.0848592,,,,,,,,,0.025443003,0.093941,0.07936298,0.10529256,0.09234434,0.04755618,0.071646936,0.08582802,,,0.03608771,0.10710751,,,,,,,0.09743207,0.029388485,0.039433282,0.06392185,0.073282786,,,,,,,,,0.019301873,0.030342255,,,,,,,,,,,0.07646278,0.08093543,0.11863642,0.08913227,0.111470856,0.090033285,0.06429257,,,,,,,,,,,,,0.06858511,0.06979741
6,Mouse2403,0.0,0.0556935555508982,0.09689207,0.09294856,,,,,,,,,,,,,,,0.043048758,0.063619375,0.08747884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04223665,,0.057412654,0.06101441,0.079874136,0.069705345,0.091560215,0.07729733,0.10116631,0.05448807,,,,,0.0311821,,0.084023826,0.071860835,0.080298334,0.09205422,,,,,,,,,,,0.04477675,0.05610837,0.04545933,0.03353666,,0.04865361,0.080071904,,,,,,,,,0.07878759,0.029524682,,,0.053453766,,,,,,,,,,,,0.026994215,0.08050138,0.0696105,0.04361019,0.05904547,0.096396394,0.027373338,0.0672951,0.08476857,,0.042425297,0.056957837,0.095363274,,,,,,,0.0039937827,0.07852114,0.028303163,0.023745561,,,,,,,,0.040803667,0.095805146,0.031416092,0.07914634,0.037665125,0.0319043,0.07846815,0.04735434,,0.035358295,,,,,,0.058264803,0.03960544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042076893,0.08481807,0.042024244,0.04264391,0.050550926,0.092319384,0.0151259545,0.04623592,,,,,0.06352322,0.04483709,0.06368202,0.058225293,0.10827142,,,,,,,,,0.07324994,0.01247799,0.026519742,,,,,,,,,,,,,,,,,0.052143287,0.05454574,0.050378636,0.08608543,0.06360458,0.07767411,0.06324837,0.036492888,0.0777912,0.05193866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mouse30391,0.0,0.04339710101972318,0.040871587,,0.04404483,0.016381802,0.031987626,0.04298451,0.04914235,0.015016079,0.044046298,0.01616161,0.009168662,0.06007047,0.08338569,,0.027120896,0.058774877,0.0014132302,0.085499056,,0.033211537,0.050751437,0.0072913375,0.026194789,0.0713695,0.012039038,0.036668077,0.012372335,0.035225566,0.004296051,0.007497021,0.019528324,0.0064175925,0.008533976,0.044952583,0.07054564,0.045893982,0.027920611,0.032626398,0.040084403,0.008180745,0.029565934,0.0015913404,0.01153653,0.045247275,0.04113528,0.009547621,0.0611187,0.053404957,0.05235568,,0.00617026,,,,,0.010167341,0.06414815,0.041654304,0.0032808546,0.027442625,0.03277475,0.030745847,0.02426024,0.053016894,0.011977567,0.025590178,0.018478706,0.018926656,0.0056918478,0.022329148,,,,,,,,,0.013713346,0.0027653293,0.012365946,0.06570034,0.0041795266,0.021009207,0.013888181,0.032028634,0.030941365,,,0.015506446,0.08873325,0.06728023,0.0801036,0.007763905,0.03002274,0.007829996,0.022808148,0.0025466387,0.010740726,,,,0.06290763,0.0470005,,0.013891543,,0.06100768,0.0050678635,0.0039127464,0.018995497,0.002852864,0.012517978,0.0048859487,0.0037288535,0.0068980507,0.0052949362,0.04349429,0.07001668,0.0027386174,0.06708291,0.009710454,0.010369838,0.0022940808,0.008870704,0.032021016,0.009954127,0.008351689,0.006916491,0.0024218054,0.005769994,0.0035112123,0.048886806,0.021221707,0.018366614,0.036421206,0.039594315,0.05741993,0.004498004,0.0078828195,0.023196809,0.03650714,0.011699372,0.03426541,0.08783675,0.03491276,0.010335559,0.018831508,0.014345552,0.0046086316,0.046627704,,,,,,0.007295156,0.010938622,0.025940318,0.024901357,0.030210054,,,,,,0.030311251,0.008283196,0.012955701,0.025998289,0.035764404,0.009312369,0.032926567,0.0076124202,0.008869336,0.0118214525,0.035570193,0.002873502,,0.010620303,0.029002683,0.027173096,0.03763239,0.013624388,0.029678904,,,,0.025314871,0.002342472,0.038363528,0.017680142,0.010891795,0.06714583,,,0.013877873,0.028709542,0.012860281,0.0028973569,0.05966993,,,,,,0.097386084,0.027034918,0.083139844,0.025736134,0.026168713,0.02919212,0.022651568,0.0041775545,0.048010077,0.023800187,0.0013981075,0.0075413133,0.006329614,0.021203002,0.019386837,,,,0.013752029,0.08147648,0.019360557,0.026357885,0.035487697,0.03466895,,,,,0.018490965,0.07273878,0.010065945,0.009142292,0.014635312,0.026188478,0.038856972,0.04563747,0.0057666204,0.016008684,0.04114898,0.010206343,0.021412613,,,,0.036184337,0.04262488,0.00033671697,0.027333543,0.021802783,,,,,,0.007587081,0.031562246,0.05651644,0.04484673,0.03184723,0.014733041,0.0035219034,0.0064156256,0.02401279,0.028226161,0.008945865,0.022791523,0.020488128,0.0045999223,0.0064503876,,,,,0.024703616,0.0016787531,0.057834584,0.0642733,0.0011184717,,,,,,,,,,,,,,,,
8,Mouse30392,0.0,0.03944423064025974,0.028754922,0.041416984,0.020196136,0.029186461,0.08872218,,,,,,,,,0.08553755,0.042021092,0.053581163,0.062091973,0.0741452,0.03789682,0.052133393,0.054909244,,,,,,,0.06669922,0.046207726,0.10012217,0.035787806,0.033889238,0.042762563,0.04491684,,,0.029878946,0.07214963,0.044135768,0.07610157,0.053351086,0.027848387,0.05433507,0.031986892,0.031528737,0.016091272,0.029421661,0.04981284,,,0.036503688,0.045328543,0.06692564,0.06901514,0.045724552,0.08358912,0.03739662,0.005280848,0.066010304,0.05796639,0.0580332,,0.055145305,0.08425676,0.030302312,0.06295477,0.003285037,0.031998254,0.052163098,0.026549142,0.049332842,0.059718825,0.023226527,0.08170469,0.0099992,0.018143702,0.019281602,0.058860432,0.03868709,0.018776927,0.0012398198,0.016011093,,0.031409234,0.017873978,0.06070519,0.06655483,0.030637171,0.076009065,0.052536372,0.059835795,0.12553877,0.04310667,0.029573256,0.048024677,,,,,,0.012251462,0.024947967,0.026437491,0.04407452,0.08222709,0.013623664,0.023067916,0.10023764,,,0.074858025,0.032816194,0.07308382,0.016234558,0.058587033,0.07282189,0.026659848,0.050252143,0.050934676,0.06649971,0.04369205,0.018207997,0.049206324,0.0679278,,0.026527978,0.02606931,0.004262649,0.018125793,0.05719493,0.01319617,0.040441092,0.043430205,0.022051545,0.06135139,0.037125714,0.090372704,0.06565174,,0.04247624,0.05687725,0.012622537,0.01848186,0.036312245,0.019798938,0.037563242,0.009809294,0.025674937,0.0965157,0.025416944,0.06086587,0.03724037,0.06468205,0.023355173,0.045761958,0.07295785,0.07910941,,0.091112725,0.051202882,0.042488977,0.04409391,0.030925607,0.07953746,0.06079971,0.005419415,0.02532364,0.08971131,0.071584456,0.052424207,0.075151965,0.080763906,0.0091578765,0.03958601,0.011791801,0.03155987,0.028321013,0.028813519,0.06893351,0.050923314,0.049995784,0.052999634,0.053402316,0.052073136,0.08838064,0.08408741,0.017810415,0.019737964,0.056559335,0.040642023,0.089527376,0.075666316,,0.06839758,0.050321784,0.075073294,0.07068173,0.025512876,0.068609,0.050310556,0.03566672,0.07032481,0.06468773,0.07198817,0.046171546,0.0521145,0.045236193,0.069305465,0.026315907,0.005125976,0.02125339,,,0.046909124,0.025075966,0.05746132,0.06870567,,0.06833776,0.063725546,0.06028266,0.03517802,0.0074331863,0.03414299,0.021065341,0.03645417,0.033018164,0.05385473,0.036345664,0.042234253,0.055349883,0.05861252,0.022409407,0.06986735,0.015140808,0.011440233,0.010607376,0.085037835,,0.054401796,0.028185826,0.037978165,0.027743703,0.04125276,0.016588401,0.05329659,0.03216876,0.05831883,0.08079303,0.06499811,0.02259178,0.044346884,0.005475465,0.026772168,0.047569025,0.022305174,0.063092515,0.03248416,0.030489082,0.062375344,,,,,,,0.039551843,0.015279677,0.008047393,0.04643861,0.034665234,0.054927893,0.05512753,0.031577263,0.028472446,0.003878454,0.034222014,0.026430942,0.009245717,0.028982034,0.030379135,0.0913502,0.037957497,0.021031257,0.087581836,0.033458307,0.039622117,0.051871225,0.012293374,0.07716499,0.0406425,0.0150881205,,,,,,,,
9,Mouse3881,1.0,0.07938326997887322,0.11963866,0.08499091,0.07103041,0.095464185,0.07157589,,,,0.06676339,0.070388,0.082686536,,,,,,,,,,,,,,,,0.075223975,0.10306946,0.070208594,,0.07732543,,,0.060436387,0.07935867,0.05076463,0.081568494,0.097555496,0.04895411,,0.073004864,,,,,,,,0.05603446,0.06917027,0.07638565,0.067557864,0.063092835,0.08845669,0.08630396,0.06642634,,,,,0.05148372,,0.07859969,,,0.06862334,,0.03502005,0.051008232,0.08260612,0.1045195,0.07295371,0.10839308,0.090423994,0.078856245,0.08687086,0.08688793,0.049925454,,,0.10744897,0.10488202,0.10610154,,,0.11083625,0.105850175,0.082635716,0.07400976,0.08319594,0.08383182,0.094655834,0.066536814,0.099761054,0.08975738,0.06821069,,,,,,,,,0.05083521,,0.05168972,0.09804025,0.05588838,0.09282131,0.08525879,0.03156047,0.10281068,0.09660561,0.106440134,0.126824,,0.052559905,0.030132767,0.028269224,0.065064356,0.03977811,0.0567016,0.050648294,,0.040135328,0.03661871,0.08734509,0.05966605,0.039743852,0.085813455,0.0869343,0.063353464,0.074190564,,0.09686393,0.06835286,,0.049610943,0.084847644,0.07614419,0.10212242,0.102033965,0.096119136,0.07377107,0.10100972,0.07839598,0.04167323,,,0.07392094,,,0.08348089,0.09763996,0.09870038,0.048992947,0.07380546,0.08139775,0.075388364,0.07928914,0.0896281,0.092514984,0.08098333,0.07672545,0.08129893,0.10944033,0.105652146,0.09405402,0.12118491,0.09119444,0.08767164,0.0199478,,0.11631423,,0.08781625,,,,,,,,0.029568044,0.101139314,,0.05668328,0.057103433,0.074600704,0.046294667,0.06797258,0.074297294,0.055876628,0.115079135,0.08440776,0.051568687,0.056646623,0.10648241,0.12213029,0.12503515,0.073679104,0.10239916,0.06437897,0.08974502,0.11503713,0.13445036,0.09658422,,0.07075371,0.0790704,0.093450665,0.10476803,,0.09900612,0.09271674,0.084406696,0.053911865,0.08315354,0.054874834,0.07965278,,0.021454575,0.08405353,0.06726564,0.08222961,0.12577109,0.05756646,0.11019852,0.11521621,0.09803413,0.09826705,0.11639935,0.088782296,0.039418094,0.10709149,0.0881377,0.0729587,0.12418984,0.08167049,0.13121027,0.06236073,0.08595353,0.10305164,0.06906266,,,,0.02886093,0.09490575,0.09206626,0.0404885,0.06775816,0.04057724,0.05443575,0.1004592,0.056622706,0.063203916,0.050282672,0.057720438,0.06465761,0.050906576,0.08178825,0.088682115,0.05666899,0.05822011,0.04011739,0.114564985,0.10347709,0.07210121,0.08801017,0.043129683,0.05278958,0.09447618,0.09052714,0.10531181,0.11241177,0.09798008,0.052109975,0.101174496,0.09703364,0.09987131,0.113193676,0.08651875,0.10369465,0.065371774,0.06311462,0.08165646,0.09332487,0.104104996,0.08571689,0.09196075,0.0627781,0.09625939,0.113038585,,,0.096088484,0.08286407,0.13282306
