,mouse,mean consecutive surr windows,mean consecutive ctr windows
0,Mouse39121,15.055555555555555,1.7058823529411764
1,Mouse39135,11.272727272727273,2.3636363636363638
2,Mouse69061,11.571428571428571,2.7142857142857144
3,Mouse04203,19.357142857142858,2.230769230769231
4,Mouse39115,21.416666666666668,3.909090909090909
5,Mouse39122,11.478260869565217,1.6363636363636365
6,Mouse69071,13.88888888888889,2.7777777777777777
7,Mouse69075,10.458333333333334,2.130434782608696
8,Mouse39132,11.714285714285714,2.7
