,mouse,expDate,pumpTime (ms),-5,-4,-3,-2,-1,0,1,2,3,4
0,Mouse04395,063020,50353,0.04966225102543831,0.042654041200876236,0.06990451365709305,0.008510776795446873,0.06745612621307373,0.01389174722135067,0.060629166662693024,0.04237528145313263,0.1032419204711914,0.0131355170160532
1,Mouse04391,061320,51529,0.019974634051322937,0.08391525596380234,0.019210606813430786,0.022284451872110367,0.005980504211038351,0.04472517594695091,0.0029579787515103817,0.0402480848133564,0.025407999753952026,0.020571056753396988
2,Mouse04393,053120,53740,0.062075868248939514,0.06507471948862076,0.027932625263929367,0.04682916775345802,0.026760932058095932,0.039700329303741455,0.031758833676576614,0.07055845111608505,0.07551956921815872,0.005859325174242258
3,Mouse04395,062820,53929,0.020746951922774315,0.02144758217036724,0.00814060214906931,0.029458526521921158,0.02791767008602619,0.06156160309910774,0.05207773298025131,0.06388965249061584,0.018900876864790916,0.013652266003191471
4,Mouse04395,062520,59612,0.0668937936425209,0.04292942211031914,0.02918941155076027,0.04121638089418411,0.07088325172662735,0.015491427853703499,0.07817456871271133,0.044708773493766785,0.012540717609226704,0.12595944106578827
5,Mouse04395,062820,72537,0.03487079590559006,0.02603020891547203,0.0552595891058445,0.03125837445259094,0.04970008507370949,0.0274029690772295,0.004579369444400072,0.03240003436803818,0.025811990723013878,0.028865449130535126
6,Mouse04393,053120,78122,0.046290718019008636,0.05939303711056709,0.03694157302379608,0.018443243578076363,0.013818041421473026,0.03963150829076767,0.0705290138721466,0.08842626959085464,0.04243326559662819,0.03397420421242714
7,Mouse04395,062820,85320,0.05123703554272652,0.05244370549917221,0.02096402831375599,0.04480638727545738,0.005174299236387014,0.007868402637541294,0.06984176486730576,0.041490938514471054,0.007609209511429071,0.04792461171746254
8,Mouse04395,062620,88414,0.05501110106706619,0.056130073964595795,0.016456348821520805,0.010019996203482151,0.01966552995145321,0.0158606618642807,0.07684353739023209,0.07476727664470673,0.10364916175603867,0.09058584272861481
9,Mouse04393,060120,91743,0.06078103929758072,0.04975007101893425,0.060464680194854736,0.02322838455438614,0.043191470205783844,0.06329198181629181,0.03647692874073982,0.07600000500679016,0.07697612047195435,0.04625129699707031
10,Mouse04395,062520,91887,0.06186143681406975,0.00955314189195633,0.03142926096916199,0.00763601902872324,0.0784071758389473,0.01925160177052021,0.045473743230104446,0.016625501215457916,0.07923267036676407,0.036818426102399826
11,Mouse04395,063020,93214,0.06271570175886154,0.03538994863629341,0.08616265654563904,0.07830879837274551,0.08400534093379974,0.04811050742864609,0.10247708857059479,0.04865694046020508,0.03502006083726883,0.10242968052625656
12,Mouse04395,062620,102570,0.03796599805355072,0.02659817598760128,0.05917271971702576,0.07135782390832901,0.017857005819678307,0.039411552250385284,0.11671014875173569,0.03386382386088371,0.04189092293381691,0.035343464463949203
13,Mouse04393,053120,105473,0.05850273743271828,0.040215831249952316,0.06272470206022263,0.040897391736507416,0.05584866181015968,0.04594094306230545,0.032342471182346344,0.03427936136722565,0.06104721501469612,0.019775062799453735
