,net_1_auc,net_2_auc,net_3_auc,mouse,experiment
0,0.4551670893651388,0.4058097072486251,0.4522838790646598,Mouse69061,flx
1,0.5312619942312775,0.6194738913595569,0.4506498431413107,Mouse78732,flx
2,0.6577205853658536,0.6569551869918699,0.4602833170731707,Mouse78743,flx
3,0.6444395514479639,0.6147455657613992,0.4131096634155072,Mouse78745,flx
4,0.5439240572592465,0.5596302562198999,0.4655077522700017,Mouse78751,flx
5,0.5780937592601257,0.6355689226282382,0.4355376331508601,Mouse78764,flx
6,0.7189298043728424,0.7356635980053702,0.4422708093594169,Mouse0641,epm
7,0.9203377902885292,0.8539861264702926,0.5796521564290741,Mouse39115,epm
8,0.9109960128960872,0.8932543543371678,0.4846620500200309,Mouse39121,epm
9,0.701976659667259,0.7044399127766112,0.531189428202229,Mouse39122,epm
10,0.7016650921114785,0.6461915446386396,0.5226735947094946,Mouse39132,epm
11,0.895143361371502,0.8499575989548716,0.4770805161467764,Mouse39135,epm
12,0.5598759305210919,0.6677543424317618,0.47212158808933,Mouse6674,epm
13,0.7252599170050422,0.6911695149703271,0.4584980589888894,Mouse69061,epm
14,0.6875148467812179,0.7369645260907435,0.6228323699421965,Mouse69071,epm
15,0.75414630070602,0.7476709696286085,0.6031144253665873,Mouse69075,epm
16,0.5920067685777383,0.6717096394871942,0.413127025554249,Mouse8893,epm
17,0.89537765836676,0.8908082948611217,0.7402368879134186,Mouse04203,oft
18,0.9356307515337424,0.8154476610429447,0.6134010736196319,Mouse39115,oft
19,0.9234045042410062,0.8980988593155893,0.7095758993857854,Mouse39121,oft
20,0.7027299725860493,0.7256034876637222,0.5869155498020103,Mouse39122,oft
21,0.9550414049425112,0.8989980221261058,0.6701623595383512,Mouse39132,oft
22,0.8985887209237463,0.8393856566445399,0.6404678232089399,Mouse39135,oft
23,0.7222003083874207,0.6712446659733926,0.5613188941083659,Mouse69061,oft
24,0.8121137583346886,0.8095523662384128,0.5854508863229794,Mouse69071,oft
25,0.8642612219451371,0.8469217581047381,0.6133961970074813,Mouse69075,oft
