,comp score,net 1 scores,net 2 scores,net 3 scores,flx,mouse,time,expDate,auc (last-30-minutes),net 1 auc (last-30-minutes),net 2 auc (last-30-minutes),net 3 auc (last-30-minutes)
29948,3.7135658,0.11414104,0.15555274,0.0027166589,0.0,Mouse78751,4,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29949,3.2547274,0.111100875,0.12860185,0.030788885,0.0,Mouse78751,5,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29950,2.4458532,0.10728995,0.08343358,0.005318124,0.0,Mouse78751,7,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29951,2.7462442,0.06892716,0.12343633,0.017961025,0.0,Mouse78751,8,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29952,1.7996253,0.06448277,0.068450876,0.036927238,0.0,Mouse78751,9,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29953,4.0099735,0.13486265,0.16109823,0.0040774965,0.0,Mouse78751,10,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29954,3.1353912,0.07954546,0.14073037,0.013524276,0.0,Mouse78751,11,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29955,2.815281,0.10123517,0.10623742,0.07236891,0.0,Mouse78751,12,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29956,2.618879,0.0814014,0.109206975,0.00097354274,0.0,Mouse78751,13,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29957,4.2242737,0.12211601,0.18157832,0.00085702003,0.0,Mouse78751,14,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29958,3.8326762,0.14592254,0.14054553,0.08295463,0.0,Mouse78751,15,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29959,3.6150224,0.11540815,0.1488682,0.0034099692,0.0,Mouse78751,16,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29960,3.07291,0.12010028,0.11368361,0.0014556259,0.0,Mouse78751,17,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29961,2.959264,0.08588888,0.12601094,0.023432717,0.0,Mouse78751,18,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29962,3.3935695,0.09795367,0.14351764,0.056930877,0.0,Mouse78751,19,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29963,5.0013742,0.14777172,0.21285456,0.0068326723,0.0,Mouse78751,20,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29964,2.5111444,0.09149357,0.09618296,0.0155904,0.0,Mouse78751,21,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29965,3.2448843,0.12770052,0.118694,0.02079521,0.0,Mouse78751,22,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29966,2.743827,0.08801808,0.11168046,0.027095227,0.0,Mouse78751,23,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29967,1.9050275,0.08465782,0.06424563,0.0063967924,0.0,Mouse78751,24,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29968,3.1013658,0.138846,0.10315124,0.029740162,0.0,Mouse78751,25,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29969,3.3719141,0.10619447,0.13866922,0.027171453,0.0,Mouse78751,26,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29970,4.3259425,0.11666149,0.18936783,0.035708964,0.0,Mouse78751,27,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29971,2.9212415,0.10737814,0.111117326,0.023197578,0.0,Mouse78751,28,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29972,2.2969058,0.10385786,0.07544613,0.029989066,0.0,Mouse78751,29,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29973,4.906695,0.13977347,0.21149811,0.015509673,0.0,Mouse78751,30,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29974,2.9783003,0.10373345,0.11650098,0.02733299,0.0,Mouse78751,31,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29975,3.4391718,0.10412556,0.14379513,0.030010777,0.0,Mouse78751,32,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29976,2.5093472,0.092733495,0.095852226,0.0039416947,0.0,Mouse78751,33,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29977,2.248565,0.09104681,0.080111094,0.029099423,0.0,Mouse78751,34,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29978,2.3573906,0.08774743,0.08854946,0.02971239,0.0,Mouse78751,35,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29979,2.1143286,0.09016468,0.07378441,0.0013061124,0.0,Mouse78751,36,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29980,3.8350768,0.11378578,0.16267176,0.011411793,0.0,Mouse78751,37,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29981,4.0658164,0.13589554,0.16366388,0.0081514735,0.0,Mouse78751,38,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29982,3.522839,0.11082175,0.14549468,0.015833305,0.0,Mouse78751,39,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29983,4.5498796,0.1508117,0.18411179,0.0040370785,0.0,Mouse78751,40,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29984,4.661367,0.1487756,0.19128394,0.020408822,0.0,Mouse78751,41,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29985,4.037535,0.09453597,0.18316941,0.07946266,0.0,Mouse78751,42,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29986,3.942119,0.13210674,0.15881401,0.0002408532,0.0,Mouse78751,43,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29987,3.5394604,0.11258529,0.14515626,0.022731565,0.0,Mouse78751,44,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29988,3.6927528,0.13845225,0.13873482,0.03241441,0.0,Mouse78751,45,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29989,3.7593222,0.136696,0.14488627,0.0064333915,0.0,Mouse78751,46,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29990,2.9576426,0.09877156,0.116405055,0.068166606,0.0,Mouse78751,47,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29991,3.498401,0.09915224,0.14881995,0.063404,0.0,Mouse78751,48,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29992,2.2652972,0.06821324,0.095727436,0.0014493279,0.0,Mouse78751,49,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29993,2.3924398,0.06882146,0.09899779,0.09358568,0.0,Mouse78751,50,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29994,4.1122327,0.1401986,0.16285564,0.032680545,0.0,Mouse78751,51,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29995,1.1549696,0.07575765,0.024696572,0.0016190037,0.0,Mouse78751,52,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29996,2.754126,0.12346094,0.09144801,0.02778604,0.0,Mouse78751,53,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29997,4.608538,0.1205475,0.20307706,0.057757355,0.0,Mouse78751,54,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29998,4.4534793,0.15000752,0.17625406,0.06277463,0.0,Mouse78751,55,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
29999,2.4280293,0.070226595,0.10297664,0.0320543,0.0,Mouse78751,56,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30000,4.335306,0.11697448,0.1899689,0.030561605,0.0,Mouse78751,57,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30001,3.5107358,0.104206026,0.14716546,0.050164346,0.0,Mouse78751,58,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30002,2.7245603,0.09894272,0.10518784,0.00219606,0.0,Mouse78751,59,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30003,4.623623,0.09848607,0.21796589,0.034142688,0.0,Mouse78751,60,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30004,3.5546288,0.106066,0.14934066,0.035521854,0.0,Mouse78751,61,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30005,2.250161,0.080077685,0.084412776,0.080670595,0.0,Mouse78751,62,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30006,3.9777057,0.12570931,0.16427417,0.01020172,0.0,Mouse78751,63,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30007,4.191793,0.097261496,0.19259697,0.038506392,0.0,Mouse78751,64,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30008,2.4732335,0.09442701,0.09106621,0.041399974,0.0,Mouse78751,65,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30009,2.7006688,0.12701769,0.08671849,0.014743142,0.0,Mouse78751,66,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30010,2.8608534,0.10684476,0.10774569,0.024653576,0.0,Mouse78751,67,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30011,1.8374299,0.08734687,0.057684787,0.027763234,0.0,Mouse78751,68,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30012,3.5678058,0.110701285,0.14684154,0.048577584,0.0,Mouse78751,69,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30013,4.9339147,0.1351681,0.21531683,0.027473558,0.0,Mouse78751,70,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30014,3.6774645,0.10151987,0.15950151,0.03268059,0.0,Mouse78751,71,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30015,5.049028,0.15289934,0.21234976,0.014916558,0.0,Mouse78751,72,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30016,3.3351662,0.104646936,0.13799027,0.012976119,0.0,Mouse78751,73,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30017,2.3940003,0.087476164,0.091382004,0.0187063,0.0,Mouse78751,74,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30018,3.027789,0.095203966,0.12491583,0.01727711,0.0,Mouse78751,75,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30019,2.9072547,0.09716588,0.11422722,0.0704496,0.0,Mouse78751,76,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30020,4.212213,0.108717166,0.18762328,0.026267964,0.0,Mouse78751,77,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30021,2.8900936,0.10484603,0.11129721,0.0102785425,0.0,Mouse78751,78,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30022,5.5408735,0.1483715,0.24397898,0.02710569,0.0,Mouse78751,79,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30023,4.031131,0.102235384,0.1792572,0.05653612,0.0,Mouse78751,80,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30024,4.8957725,0.13593447,0.21291034,0.01983923,0.0,Mouse78751,81,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30025,2.327449,0.07129765,0.09604818,0.038207952,0.0,Mouse78751,82,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30026,4.218033,0.10845112,0.18807898,0.027412107,0.0,Mouse78751,83,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30027,5.2558036,0.14862587,0.226002,0.043942757,0.0,Mouse78751,84,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30028,4.454863,0.15195057,0.17697585,0.021745443,0.0,Mouse78751,85,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30029,4.6099825,0.15955044,0.18274361,0.00033686115,0.0,Mouse78751,86,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30030,2.3975086,0.099842094,0.084495805,0.01484594,0.0,Mouse78751,87,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
30031,2.9340987,0.109507225,0.10993194,0.039464075,0.0,Mouse78751,88,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
