mouse,mouse-name,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
3.0,Mouse39121,2.0,0.0,-3.688253461647913,-20.59530900511223,0.1502868485873787,0.1710876739611651
3.0,Mouse39121,3.0,0.0,-3.7461311101430113,-21.352344249784547,0.14773156757619058,0.16831650039523813
3.0,Mouse39121,4.0,0.0,-3.7622445538536544,-21.754487867699357,0.14703281597169823,0.16690094857075474
3.0,Mouse39121,5.0,0.0,-3.7526677517486036,-22.313336181674828,0.14744745455607486,0.16499485075233644
4.0,Mouse39122,1.0,0.0,-7.02027930628799,-8.688671191112752,0.06967039308290157,0.25151417341968907
4.0,Mouse39122,2.0,0.0,-7.029885836512441,-8.578012460230196,0.06954855695854924,0.2529329435751296
4.0,Mouse39122,3.0,0.0,-7.060321632688883,-8.623931997687318,0.06916484737823836,0.25234113660621754
4.0,Mouse39122,4.0,0.0,-7.158990267112644,-8.762035183194751,0.06794446577720208,0.2505873189119171
4.0,Mouse39122,5.0,0.0,-7.175289541600851,-8.896545412775623,0.06774626459278352,0.24891565407216482
5.0,Mouse39132,1.0,0.0,-6.400765845125785,-12.70254283754878,0.07833496662420382,0.21258620554140126
5.0,Mouse39132,2.0,0.0,-6.384898389809836,-12.819088470994695,0.07857980770186335,0.21172166347826085
5.0,Mouse39132,3.0,0.0,-6.283031209266663,-12.147823203269727,0.08018198091194965,0.21685993911949686
5.0,Mouse39132,4.0,0.0,-6.409321246676966,-12.62696111506234,0.07820347175949363,0.21315288132911386
5.0,Mouse39132,5.0,0.0,-6.315151984298437,-13.075726596896528,0.07967104607453412,0.20985643953416147
6.0,Mouse39135,1.0,0.0,-6.795983079789229,-11.406129012012766,0.07261765128104575,0.2230237890718955
6.0,Mouse39135,2.0,0.0,-6.761092223101855,-11.03367927991588,0.07309448242763159,0.22633591102631578
6.0,Mouse39135,3.0,0.0,-6.836746970555215,-11.943214833318734,0.07206698246979863,0.21850637479865778
6.0,Mouse39135,4.0,0.0,-6.747724464050178,-11.766075822064124,0.07327853226845632,0.2199641750268457
6.0,Mouse39135,5.0,0.0,-6.817467059137702,-12.201839479016948,0.07232657369078943,0.2164317874934211
7.0,Mouse6674,1.0,0.0,-5.822943627825649,-15.84658641052362,0.0881333227142857,0.19254513452463065
7.0,Mouse6674,2.0,0.0,-5.840901844851689,-16.043159994728303,0.08779907738048776,0.19148148693658537
7.0,Mouse6674,3.0,0.0,-5.856800377523053,-16.163878250598284,0.08750489786893198,0.19083742402427187
7.0,Mouse6674,4.0,0.0,-5.829349081563416,-16.16023692653968,0.08801386300239797,0.19085675131414875
7.0,Mouse6674,5.0,0.0,-5.847939944278518,-16.257575611924743,0.0876686478164705,0.190342219642353
8.0,Mouse69061,1.0,0.0,-4.826553270358642,-21.278391025809213,0.11056322159641258,0.1685809756950672
8.0,Mouse69061,2.0,0.0,-4.853763800900924,-22.204290040205205,0.10983054517117116,0.16536137708558551
8.0,Mouse69061,3.0,0.0,-4.786389638499736,-20.91459774723658,0.11165941235135135,0.16990140649999988
8.0,Mouse69061,4.0,0.0,-4.793906079647351,-20.736225003722947,0.11145291391517857,0.17056090197321422
8.0,Mouse69061,5.0,0.0,-4.787646149830094,-20.90294310759667,0.11162484871111117,0.16994425104888877
9.0,Mouse69071,1.0,0.0,-4.527017983509406,-22.94067475679752,0.11918871743069306,0.16293500625742566
9.0,Mouse69071,2.0,0.0,-4.49782169638965,-22.6560080193098,0.12008824484390244,0.16385956708292673
9.0,Mouse69071,3.0,0.0,-4.498267731520458,-22.841907912546112,0.12007441904901967,0.16325391657843127
9.0,Mouse69071,4.0,0.0,-4.425706173108484,-21.59609752297909,0.12235842100990105,0.16745397870792073
9.0,Mouse69071,5.0,0.0,-4.4876148720946905,-22.584248633580227,0.12040534118536587,0.1640952634390244
10.0,Mouse69075,1.0,0.0,-5.4097242605719815,-26.095641369614025,0.09644102110270267,0.1536811358
10.0,Mouse69075,2.0,0.0,-5.439376317486214,-26.68473052902487,0.0958028099405405,0.1521301592540541
10.0,Mouse69075,3.0,0.0,-5.466538230938808,-27.171340198086,0.0952242463473684,0.15088564708947366
10.0,Mouse69075,4.0,0.0,-5.512191320126899,-27.989688105798784,0.09426462221761658,0.1488633735233161
10.0,Mouse69075,5.0,0.0,-5.494479517007261,-27.737342341275756,0.094635033215,0.14947780093000002
11.0,Mouse8893,1.0,0.0,-5.995999026465586,-25.07322327841838,0.08499673958048787,0.1564960844878049
11.0,Mouse8893,2.0,0.0,-6.025475630277805,-25.089260529485824,0.08448071365609763,0.15645066306829278
11.0,Mouse8893,3.0,0.0,-6.031950481646901,-24.886953769704384,0.08436805065036683,0.15702671959902212
11.0,Mouse8893,4.0,0.0,-6.094486069776156,-25.53039434050205,0.08329247904914013,0.15521738180098288
11.0,Mouse8893,5.0,0.0,-6.126864635172093,-25.771264895027464,0.08274438822549025,0.1545568193063726
