,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
0,Tone 4,Mouse39111,-10,group 2,0.1053711473941803,0.1573920100927353,0.07016189396381378,3.7071292400360107
1,Tone 4,Mouse39111,-9,group 2,0.0987207368016243,0.15876302123069763,0.02075929380953312,3.629110097885132
2,Tone 4,Mouse39111,-8,group 2,0.13456054031848907,0.1762947291135788,0.06421353667974472,4.3039021492004395
3,Tone 4,Mouse39111,-7,group 2,0.12015315145254135,0.2382710576057434,0.08109906315803528,5.208375453948975
4,Tone 4,Mouse39111,-6,group 2,0.0797792375087738,0.09502891451120377,0.03210953623056412,2.389116048812866
5,Tone 4,Mouse39111,-5,group 2,,,,
6,Tone 4,Mouse39111,-4,group 2,0.114608995616436,0.15409347414970398,0.034549206495285034,3.7168471813201904
7,Tone 4,Mouse39111,-3,group 2,0.10024070739746094,0.12096495926380157,0.045112285763025284,3.031383752822876
8,Tone 4,Mouse39111,-2,group 2,,,,
9,Tone 4,Mouse39111,-1,group 2,0.10576735436916351,0.1806459277868271,0.03221893310546875,4.071287631988525
10,Tone 4,Mouse39111,0,group 2,0.0947754979133606,0.1868857890367508,0.07958918809890747,4.101938247680664
11,Tone 4,Mouse39111,1,group 2,0.10294820368289948,0.25732195377349854,0.02547759748995304,5.3172688484191895
12,Tone 4,Mouse39111,2,group 2,0.12648920714855194,0.3086816072463989,0.07060368359088898,6.4368438720703125
13,Tone 4,Mouse39111,3,group 2,0.1189020648598671,0.2177131623029709,0.023909809067845345,4.811972618103027
14,Tone 4,Mouse39111,4,group 2,0.09724419564008713,0.11328761279582977,0.03046121448278427,2.8634252548217773
15,Tone 4,Mouse39111,5,group 2,0.1252945512533188,0.147187277674675,0.06572140008211136,3.728908061981201
16,Tone 4,Mouse39111,6,group 2,0.08969245105981827,0.10658346116542816,0.03542786464095116,2.6812691688537598
17,Tone 4,Mouse39111,7,group 2,0.11533104628324509,0.18557743728160858,0.017646310850977898,4.236644268035889
18,Tone 4,Mouse39111,8,group 2,0.07239259034395218,0.15284547209739685,0.05733747407793999,3.299031972885132
19,Tone 4,Mouse39111,9,group 2,0.09878812730312347,0.18221494555473328,0.02502441592514515,4.023885250091553
20,Tone 4,Mouse39111,10,group 2,0.10375182330608368,0.1068904772400856,0.047555845230817795,2.8328683376312256
21,Tone 4,Mouse39111,11,group 2,0.08760321885347366,0.19364279508590698,0.09413765370845795,4.15487813949585
22,Tone 4,Mouse39111,12,group 2,0.09056451171636581,0.08797486126422882,0.07860912382602692,2.4107768535614014
23,Tone 4,Mouse39111,13,group 2,0.06737260520458221,0.09911328554153442,0.031991079449653625,2.33561372756958
24,Tone 4,Mouse39111,14,group 2,0.1243932843208313,0.14148031175136566,0.02784022130072117,3.5975191593170166
25,Tone 4,Mouse39111,15,group 2,0.0780666172504425,0.0785798579454422,0.00588957266882062,2.079106330871582
26,Tone 4,Mouse39111,16,group 2,0.11114443093538284,0.18188077211380005,0.009019513614475727,4.1277594566345215
27,Tone 4,Mouse39111,17,group 2,0.13716387748718262,0.2125076949596405,0.020341629162430763,4.901463985443115
28,Tone 4,Mouse39111,18,group 2,0.05639315024018288,0.15374304354190826,0.12759371101856232,3.2081167697906494
29,Tone 4,Mouse39111,19,group 2,0.11246364563703537,0.18289802968502045,0.016473868861794472,4.163034915924072
30,Tone 4,Mouse39111,20,group 2,0.10413015633821487,0.14891105890274048,0.048130232840776443,3.5376265048980713
31,Tone 4,Mouse39111,21,group 2,0.13611072301864624,0.18625496327877045,0.042072925716638565,4.469141483306885
32,Tone 4,Mouse39111,22,group 2,0.11602108180522919,0.18445517122745514,0.08246118575334549,4.271581172943115
33,Tone 4,Mouse39111,23,group 2,0.12504558265209198,0.19011186063289642,0.0021301647648215294,4.396174430847168
34,Tone 4,Mouse39111,24,group 2,0.08064227551221848,0.13017058372497559,0.10887033492326736,3.0390424728393555
35,Tone 4,Mouse39111,25,group 2,0.06287697702646255,0.12349768728017807,0.09755942225456238,2.7455942630767822
36,Tone 4,Mouse39111,26,group 2,0.10712931305170059,0.1782957762479782,0.040940023958683014,4.051751136779785
37,Tone 4,Mouse39111,27,group 2,0.1245345026254654,0.15517863631248474,0.03625296428799629,3.8333899974823
38,Tone 4,Mouse39111,28,group 2,0.09645019471645355,0.1310681700706482,0.03642309084534645,3.156428575515747
39,Tone 4,Mouse39111,29,group 2,0.09162423759698868,0.12276286631822586,0.08766636997461319,3.0077524185180664
40,Tone 4,Mouse39111,30,group 2,0.10395899415016174,0.16665655374526978,0.057286038994789124,3.838456392288208
41,Tone 4,Mouse39111,31,group 2,0.12221566587686539,0.18864819407463074,0.017306776717305183,4.355031490325928
42,Tone 4,Mouse39111,32,group 2,0.11294563859701157,0.22752173244953156,0.08323461562395096,4.960094928741455
43,Tone 4,Mouse39111,33,group 2,0.07528901845216751,0.11606859415769577,0.00958377867937088,2.6796483993530273
44,Tone 4,Mouse39111,34,group 2,0.09202985465526581,0.15699517726898193,0.050294239073991776,3.5554661750793457
45,Tone 4,Mouse39111,35,group 2,0.09437131881713867,0.1555483490228653,0.029055435210466385,3.5389108657836914
46,Tone 4,Mouse39111,36,group 2,0.09073042869567871,0.1025153249502182,0.08689003437757492,2.6608357429504395
47,Tone 4,Mouse39111,37,group 2,0.08218970149755478,0.05295340344309807,0.0047005158849060535,1.6913431882858276
48,Tone 4,Mouse39111,38,group 2,0.08328106999397278,0.17068053781986237,0.046048857271671295,3.6948893070220947
49,Tone 4,Mouse39111,39,group 2,0.08012891560792923,0.15276312828063965,0.04938308894634247,3.367678642272949
50,Tone 4,Mouse39113,-10,group 2,0.1533346176147461,0.20747658610343933,0.01476485375314951,4.971928596496582
51,Tone 4,Mouse39113,-9,group 2,0.0814349576830864,0.08728864043951035,0.04622999578714371,2.286489963531494
52,Tone 4,Mouse39113,-8,group 2,0.10232973098754883,0.17077840864658356,0.06259863823652267,3.895068407058716
53,Tone 4,Mouse39113,-7,group 2,0.1440262347459793,0.18467670679092407,0.007135943975299597,4.49507999420166
54,Tone 4,Mouse39113,-6,group 2,0.09348028153181076,0.11221197992563248,0.00802247691899538,2.792390823364258
55,Tone 4,Mouse39113,-5,group 2,0.16187003254890442,0.19978435337543488,0.06667465716600418,4.9648261070251465
56,Tone 4,Mouse39113,-4,group 2,0.09003224223852158,0.1286633014678955,0.0004001827910542488,3.0274081230163574
57,Tone 4,Mouse39113,-3,group 2,0.08440891653299332,0.09139685332775116,0.08660267293453217,2.413325548171997
58,Tone 4,Mouse39113,-2,group 2,0.09605845808982849,0.16388817131519318,0.04491131380200386,3.7059624195098877
59,Tone 4,Mouse39113,-1,group 2,0.12600350379943848,0.25057584047317505,0.05741438269615173,5.453708648681641
60,Tone 4,Mouse39113,0,group 2,0.10948622971773148,0.1568080186843872,0.02969273366034031,3.7084195613861084
61,Tone 4,Mouse39113,1,group 2,0.11632305383682251,0.166565403342247,0.0828017145395279,3.976497173309326
62,Tone 4,Mouse39113,2,group 2,0.1170312911272049,0.22134314477443695,0.0823453739285469,4.896449565887451
63,Tone 4,Mouse39113,3,group 2,0.11243332177400589,0.13499197363853455,0.027831993997097015,3.372185707092285
