,mouse,HC_mean_scores,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,Mouse04203,0.0613938990099315,,1.1892866584053994,1.8474770592702017,1.939184934006895,1.359501210152789,1.6959906713720245,1.9769045777719114,1.4088520422201558,1.5313880941946856,1.1366857476947507,1.7316000728802485,1.2825443776956145,,,1.6013939753866382,1.6620364831934438,1.8085854097984235,1.652386012877099,1.7452969387506496,2.3913208375355115,1.585365021111543,2.326175276421157,1.5081807393438476,3.1326231612833118,1.895902229326905,2.0823684773517797,1.4111024286954903,2.43921908227029,2.24410572095629,1.9527004626405429,2.467232615011089,1.7449098644585257,2.0872187964356326,2.2944214697491843,2.1479318324230854,1.8098570345243166,1.6778974403195335,1.94628410846932,1.8390115601183084,1.8935891330373693,1.7482105181597547,1.0817952772352208,2.126746828359577,2.0107374183879467,2.567895223180025,1.8355132646286334,1.629824894877802,1.557690121367431,1.5074445749899157,0.9705766038798206,1.8781935641739698,2.2137782775127843,1.5254703074787577,1.9932303042066806,1.688787186870601,1.7301574213883522,1.271666749612538,1.8944776578074147,2.1455140025997017,1.6542603685029145,1.7427212105015868,2.6987507337365453,1.3943162330535865,1.9692996690182831,2.2887645558603325,1.108930465370617,2.085694214978689,1.5273695189945653,1.0398093463598579,2.695030494369388,2.534237970043753,,1.924037989196474,1.6767046182121093,2.2028594401232326,1.576939102439782,2.3919021656572883,2.668180432285315,,1.6678727308626469,1.8682282091490179,1.72009192611984,1.902028815291728,1.8490517434254523,1.8587952848790295,2.3709598567188706,2.2031490454469984,1.3649566382230247,1.7759167728109675,1.4664075983419194,1.8809924416320083,1.2943334155588542,1.720685959087091,,,,1.9837906691721596,1.407617228969612,2.4823486121209952,1.6363043823580752,1.3678888514054923,2.265074579764097,0.8344556515576996,2.3883498582860834,1.570429660843063,1.8480409589501094,,,,,2.3980363256646053,,1.6444929484551505,1.3241383315115614,1.6227947989405789,1.804420500839658,1.2850124730999395,2.1724583737290284,1.5721330874324557,1.5454592643586829,1.5242573856542623,1.6040595496967749,2.497722289558346,,2.538391477218118,1.5073106854645302,1.2875849436963165,1.7310334856368745,1.5033796759686038,1.6192874471764376,3.0315044817383665,1.5690923944155517,2.2708507237412476,2.3780781536025613,1.9056756760321376,1.5047309503026638,2.0289869516163015,,,,,,1.488504745157445,,,1.9217184753311474,1.6500470182487117,1.6134396348402,2.049967537973777,1.6630527079487716,1.3946393922000155,,,2.2865063510185526,1.9487165977297893,2.7371281627318735,1.675163520456049,1.670077347317746,1.5617507854402515,0.9938484276773103,1.7920588490755762,1.1152771057743642,1.8007760018974457,0.9544028143663159,1.2395184412003173,2.2576792195194813,0.7137941343798828,1.9099116018194529,1.3947854979229726,1.1924597750039803,1.049722872130579,1.7630641113458216,1.7931524430821912,1.4129053765744333,1.2005060956965312,,1.1241553495215453,1.2220953744583443,1.6496126102630633,1.708027698045969,2.0245899349036747,1.745159237771622,1.7661789159613268,1.7877205678408739,1.858749189093526,1.659173495130549,2.248224208364283,1.1896680480935868,1.1732657668207016,1.709606454267077,1.7327974231249057,2.0786819546899205,1.6821878340597547,2.5098189312764405,1.8155225811927849,1.938409221749358,1.8855943646985707,2.1275952840015875,1.7515888668775395,2.594214613641586,1.5843294784757884,1.4320326843189706,1.3120275027160206,1.9525208845362394,2.4124006194172685,2.398819139604998,1.5054425845318717,2.176658302454166,2.2164407570528697,1.029268315240539,1.7667038866916398,1.5835877435357641,1.714951024416416,1.1556588055846162,1.8231797589837564,1.8972070821101927,1.9191007070741744,2.184770834937555,,,,1.322737296532726,1.7496481202899878,1.9266218941537783,1.5063447914431976,1.4744825049367882,1.8627067484588415,,2.27897628683538,2.2991499526225887,2.374431211420834,1.6738274919365583,1.685441968480631,1.597582277420328,1.9153608403495859,1.3127077168850743,1.4051751296337198,1.7326856856377835,2.499907197214697,1.49992190567834,1.734208068179164,1.2620941371953835,1.0754755939074485,2.0527028260513895,1.561989082734216,2.894380270118607,0.9611369688452995,1.159481986776644,1.5571763895388842,2.1761308884843387,1.0891833077612936,,,,2.2582178723910746,1.347264733693158,1.4558511096606066,0.5770682522422764,0.5753094455572257,1.0348261150464255,1.2849567672390125,2.473848744733267,0.8927242101227991,1.2294930150598398,1.9461862160061123,2.0536620418847162,1.8155590669028656,2.9622078566891608,1.4992909960826855,1.6386429534916134,1.4047803021282037,1.5503947710602686,1.4243703594367556,2.1606376551934194,1.1406984591200364,2.0404177291254233,2.279845428571945,2.313065993365689,1.8855885009237365,,,1.5378729242253635,1.840154084068264,1.553684772237215,1.6457400756328464,2.5352333458218923,2.0044284038727205,1.3205597185949187,1.555842706529327,2.068125694044296,1.4582598832095235,0.7805733920278909,1.9799511345636496,2.1984712190728573,1.344075736037734,1.507333423880277,1.6503328772718886,1.8706594930779936,2.044675806951002,1.195244986609002
1,Mouse39115,0.03647889301015625,3.8264968720716697,2.267510858319374,2.2369894825832732,2.3532443809657235,3.625111100909298,2.324037628455351,3.2879632604697355,2.4267416770391965,3.101043525868645,3.1522853494480936,2.6193240012353853,2.677089460275311,4.092672986497528,3.710629046838508,2.916773268596076,3.4498374159808685,2.762505045642238,2.8064423438369435,2.999860630900523,3.524326244335486,2.6738351400313563,3.3904985813458004,3.186121080144646,1.6970358169247208,3.489164267253482,3.0864572553956933,1.6109341635898589,3.0380039210385377,3.738715425438724,2.5486464179194064,4.402645386067105,3.7051064011830075,2.464451538454591,2.76208408988583,3.7051823355047877,1.9852186846743847,2.5741863924943096,3.775835521150592,,,,3.403795722787701,1.9119840062191968,2.2476213841569317,3.62299892058687,1.9397650027455402,3.116164735820011,2.6877029950635567,1.5187039799857869,4.005784933202777,,,3.483303069657917,3.1438715524637786,3.4126433048650995,3.815479542135477,2.369463760206077,2.6884472610694483,2.891144612602055,2.8255225555036247,2.7168619116925194,4.008351348800256,4.315683591499578,3.753218880898644,1.9243003064938489,3.460253850489838,2.930550824835518,4.074893115824934,2.510660232329449,4.219755790208412,3.0343574288063597,3.340907027142214,3.3061345903896284,3.140472490985529,3.433934246993847,2.8473290012139847,,2.4188447817052348,,,,2.227744026590239,3.3500010531014897,2.1502513790142017,2.2132747826947883,2.6233863503850356,2.6212422063733682,1.9054639618764646,3.386753155190408,2.735786142748758,3.561903590764786,2.5665443294546666,3.652514893006872,3.470409312167276,2.418736774041765,3.0070691829782077,3.2923166272222795,2.891478093116297,2.3902404323432767,3.5034369043056826,3.243908031064815,2.0793087108998076,3.190777745574507,3.5011122723609462,3.4420329028362198,,,,1.5434278661999026,1.837223788050276,1.1001586585652836,1.6164725717850785,0.9866068027332894,2.2540893984120323,2.2661337331970186,,1.9468512923412256,1.9964739604275634,2.5870064087121754,2.8120782056472997,2.54874373446898,2.621514583059723,2.677227074100341,3.085608984040765,3.0294990028680875,2.3876075399478505,2.169813102002926,2.536985592579077,2.706348845961791,3.6515680440991933,1.9404086626283514,1.3767600893485796,1.8160698018318577,1.7541114798134034,,2.538446546999628,3.2467122828268278,2.7579414203163912,2.31998268084609,1.9819052617597601,2.471997436295388,3.8851765584153326,3.1567388837139156,2.986220003158298,1.3622119231020808,2.9627721973336567,2.6952766898004854,2.98208775057163,1.6045782963782236,,,,,,,,,2.372651384347183,2.599164124130692,3.0326484953696284,1.4655603717227768,2.4071010042863112,3.406868732705211,2.7254796348211374,3.172143572662222,1.731521841477323,1.4286240809305955,2.6536509749089388,3.362706318030197,2.9265945644314586,2.814732178726281,1.9954191038564142,2.704544789024491,2.8269189794572194,3.3526508045611374,2.6580583454932167,4.581866285072451,3.049844466744784,2.021787502692755,3.2399766069407314,3.8911109490214217,2.9312232684865127,1.8453546542999022,2.4902345576854144,2.4843941940553917,3.0360959684046516,2.275253116285408,1.8182966786172192,3.058602133812999,3.2260463596643536,2.281053045574411,3.565459345594405,2.7857720345764605,3.7217012029998133,2.9719703931206443,3.690662706308459,2.118918465493998,2.083476052270547,3.711569042468048,1.2719695191156584,1.4332379270786444,,,1.8199008939639874,1.7897566130042046,3.237449392094208,2.038691250288065,,2.1673278292186136,1.263365968566232,2.009490939859143,1.1796274351861338,1.867072829787832,,,,,,,,,2.9896082638702,3.328074675023698,1.4892337874637527,2.17259580705847,2.091112248904103,1.8629348204475276,2.87032476481258,1.064910110873828,1.4323821445308762,2.2965899753776866,2.219835288791653,2.8994996084599376,2.3798624036049976,1.873663627374071,1.8503040917718598,2.4879319932962862,2.9416898689914595,1.679139056740188,3.3027213837453,1.5663178151840322,3.2224397809240566,,,,,,,,,,,,2.598878753628986,2.8750312124548425,2.1597135630751025,2.725146565503584,,,,2.99155689756312,2.230470644417493,1.7981218887792956,3.020120702931608,3.8440297506001366,2.7899445844385853,2.988909229500026,3.1425956365529792,3.706719936988045,3.3113237555308865,1.9789364216699619,2.6151922969109687,1.688881485050747,2.2404824613851386,1.9902130796509339,,,,,2.7335434760105644,2.550299428606524,2.1061039318986428,1.5479324710944165,3.1878905965601256,1.8387674204182956,3.0143252968061764,2.323908512695213,0.949505238285509,1.7752498679707776,1.6385358509469743,2.9317860596872842,2.0296114791473183,3.1863583132207043,1.6745221403235326,1.390250054624198,,1.6115448454982653,,2.3661825476987053,3.3210347135882317
2,Mouse39121,0.08934055161977186,1.5739509937039617,,1.2018461723515625,1.7725749072379007,1.70665881546064,1.8824740495869066,,1.517908581728391,1.7326808173159038,,2.0940572518090046,1.7503979678293298,1.4358065589961213,1.6420673181464136,1.7434318142885645,1.7901572925211853,1.9567230874508272,1.7971888139144447,1.9278139308229156,1.5754109130534089,1.8261888587208235,1.7021057878306876,1.3840091846112528,2.0083061582562696,1.7044101165623498,1.3697484264571915,1.842919335227857,2.5162228789087706,1.2989960090454202,1.3968675784668128,2.2504960665085427,2.000013171627385,1.543949388034372,1.2504045248728592,2.14555178499232,1.495536770006135,,2.2965842081793486,2.472067566136704,2.138052950612482,2.351457722066575,1.8462410071295818,1.4983524007073044,1.6026817319125664,2.372911025916289,1.7602729908060712,1.2053343979596416,2.005290842197483,1.9799233023859373,1.7873406544387278,1.6724906807820936,1.3741269532617364,1.811591568057673,1.624756590017243,2.649806115005097,1.5927763755659177,2.960368446409592,1.1302488530600574,1.596145842113216,1.3476870001030272,0.8934057217342691,1.4947220224063018,2.489400792447983,1.7991342910449164,1.6338240289944244,2.800105836201673,1.2929390730830925,2.60663635692688,2.0963227403954354,1.9581089083099477,1.8802272535199394,1.5473776184901624,1.7188615608011864,1.7096111142232728,1.866983435583425,1.8837029428275398,2.0631222514100553,1.93154448759649,2.045830887387874,1.6609091539027474,1.862792953286054,2.998566442035632,1.4145002208832647,1.7361764303867646,,2.6952363247633024,2.4603774659407156,2.0799395865704025,1.5551155380291213,1.6534540846433294,,1.6243979622785607,1.889378640937823,2.0983181388653116,2.604672858864471,1.2686021962608676,1.5977217222420872,1.6484463922585313,2.184805852002399,,2.0940572518090046,1.8877640325949745,2.5609745614035897,1.6465499410174296,2.8583257587978177,2.2382373555408615,2.0264441702857523,1.4238376380457458,2.05837569464147,1.6078500456472422,1.5531573007356627,1.852618178410377,1.6628608991834581,2.9876220278555916,1.7451982014122036,1.6808373944130284,1.616505465677455,1.5242362793947983,1.9398763143706068,1.2821268497143459,2.4745681103571022,,,1.8439764139931856,2.3263873597351172,1.872935603891756,1.5989160287251514,2.105363315871592,1.7680468402776508,1.315366402707466,2.251378980242227,2.403511799589987,1.4212096041267337,1.5847278467963586,,,,,,1.9591610621000881,1.6565827870626924,1.7377584667346209,1.5943776640895084,1.9871494722303724,,1.9486056090286379,2.0627475055707585,1.7207350661351621,1.5522750585895042,2.7073223258056447,1.3311457545744632,1.8507084073500173,1.653697758983876,1.0323139753212496,1.0163978546546597,0.9829987996242042,1.2609629553156734,1.6007060333434415,1.0591810581462542,1.6519881210061513,1.7301701992826213,2.100136238228424,1.9339422789254679,1.647589894300855,1.3890289207990105,,1.85952870211777,1.5328271150912969,2.0783091959207014,2.140384814432695,1.3831285766614068,1.579208068923274,1.4522593340613101,1.436700106198961,1.9318048396939227,1.4422465237105622,1.2450001481229271,2.0196730009899255,2.0481714818459196,1.871758646753104,1.3869855038210521,,2.1384759388223697,1.6634777523257416,1.8753509684276544,,,1.9682004063324476,2.191621010281154,1.8844043040667977,1.1998186496117107,1.7283038575489185,1.7463994476330325,1.4653116376217679,,1.5586597292643354,1.8453967096786212,1.5535979740837247,1.0273362357400941,1.4842295866310056,,,,2.2784421666247128,1.820526704292307,1.475339782554351,2.1381897306052005,,1.2670527319080043,1.9061897079479313,1.927126672921696,1.3645494435588454,2.0677518400179284,1.963903925137283,1.4944445448269659,1.4845791479380914,,,,1.325626357267643,2.1860072101544823,2.035250921371738,1.5422943725087317,1.5562619379353575,1.6954932251221622,1.4413837576026467,1.9119247296229775,,1.8539685170618938,1.4632017334787732,1.8054468779919974,1.5305768491554472,1.670708623282856,1.1402994290159965,1.3416945365431592,1.4869997732429405,1.6810536455962783,1.0141127221331048,1.6426267505552565,1.8223230889920907,1.391839738456246,1.3440768813590478,1.8452759358552635,2.0801330037777817,,1.7509792268327553,1.9060692699183361,,1.2192918336077558,,,1.4077082323741439,1.6800366382199787,1.2441492467279647,1.930410512059478,1.7968524604953624,1.8634456244297042,1.8893503223304926,1.259685864476951,1.8709658376791072,1.2160510880028683,1.3025857003354953,1.7358306747423236,1.0063892417259468,2.397689583467864,,1.5324234909883985,,,1.4942938853587178,1.5833889251327775,0.9279757567743984,1.2894970750830268,2.0198183996892225,1.4310061632942317,1.7193916672214102,1.2499750446502242,1.033825718841424,1.2116776540703929,1.4514950674571527,1.13217075746838,1.4585752789460193,1.5474551868493716,,1.4400327473636043,,,1.5170019385688016,0.9652539461253464,1.7363145535545341,1.0503022233325183,1.3596465188280442,1.454966391445837,1.92371086683513,1.8825085244132218,1.3792143406995752,1.4074083685439538,1.4863928819822871,0.6032304818238106,0.9496775480085922
3,Mouse39122,0.059114095533582094,1.6365178072468742,1.3978995915289885,1.2640283053565673,,,1.6263960250458744,1.7416235344667101,1.0576719382347846,2.2596651237624994,1.6231282764952726,,2.421594861731036,1.2556260791951634,0.8329189435373978,1.2594282857242696,,1.2638799481852219,1.3581850365009698,1.8584285018382811,1.0566467512729785,1.9503124248006878,1.1420722822638267,1.4182337603790747,1.2184655681500087,1.6381534577482857,1.2177207373342351,2.0857710650407473,1.0181728986415366,1.941937518688511,2.192917591479637,1.2618299295068316,1.4855617633549298,1.6982272856220895,0.9752059890225427,1.2528412949822936,1.5890293026074818,1.204719015950147,0.9243025628119437,1.1905235014552449,0.9970289060164623,1.4093537124774405,1.437222784737272,1.2257344774705596,1.5124753782151317,1.1773821348659737,1.4632729337939416,1.9218394356632016,1.0412422865377835,0.9473860928513199,2.1062821798443423,1.4991482014582371,2.7145436050669156,2.1795174033713707,1.6071142617081866,1.9941479089878376,1.5818168096114957,1.9882987964051444,1.20911872802647,1.6377521998116482,1.227956367170714,0.6463506149441836,1.9566028196150473,0.9383571633687264,0.6157711400544243,1.7023039782928433,1.3865632089970201,1.13808998332353,1.1781636743547026,1.1951468657735695,1.3541436991880393,2.0412882733095237,1.3585032347213808,,,1.7113352422440393,2.631153003290736,1.094621839612522,,0.8804636107547681,1.5764110599824845,1.7458504451171157,0.9279999889169549,0.9993218447610465,1.2575604740119637,,,,1.352761456945094,2.154707753714009,,,1.7344468366559656,1.4108838889807518,0.7825392164500038,0.5389623187569624,1.0320110026100782,1.4255550937445516,1.131136988504105,1.3147578982384613,0.6817042472908503,1.5360372036550345,0.9040305280428551,1.6193389941256768,1.1019860730676831,1.5064464608007133,1.5583426113263898,1.115527005949677,1.5412386703648706,1.6021586585249563,1.8113040389693964,,1.6109399820877113,1.4808784471762575,1.297997191827295,1.831719643557551,,1.472594128595729,1.5028047912791402,1.153820241760314,1.4451554951300685,1.9411953945030014,0.7492017868198666,,,0.6863747746415252,1.1414892571885227,1.2186321950756362,1.7526335143052794,1.2769150795366313,1.6211686761841388,2.430468041558376,1.516521891958442,1.745829384150374,0.9086526912940001,0.9680178556989327,0.7196447753452105,1.987565045857014,0.6188023967857095,2.3517712441531406,2.236510071018397,,1.584731681241429,1.3501221541089141,1.1593957309397565,1.4714783202693964,0.44690275240686156,1.7161510987234518,1.1097486886648262,0.7167995486952579,1.56691088925449,1.585682385121658,0.9796139055718532,1.7704447485040984,1.5684863172325278,1.1734878014092565,,1.7086345158173057,1.305470705479365,1.383731904576488,1.112418610255868,1.650407387939749,0.6917236850349926,,,,1.6515546608429006,1.436337801223141,1.608523976248311,0.9588021856445628,0.6917368798575295,,1.2643514093443318,0.9606918533962506,0.4188909054006039,1.3688772410301064,1.1228083488530032,0.7512722574731893,2.0447207879774463,1.4922141530506599,1.349584211343945,1.496086241389895,1.4241085690328368,,,0.8851813349706714,1.1183016402990569,0.357507897384544,0.5045257096601768,1.643127567515946,1.0819392468529985,0.48673529959795137,1.240377431780979,0.5467182016113239,1.1534643198805985,1.4524920871236586,,,1.0356597262867766,0.9862200795558255,1.4004137127154583,1.0985182030419371,0.9857190822939595,,1.7395614205343273,,,,1.7013001567936836,0.867576701243191,1.8782263180686782,1.179091541042079,1.092365592624454,1.162337838036721,1.798844912371044,0.4576116365450004,1.1948470049731967,1.3961756372152136,1.5485904702372566,1.8903727442893434,1.3673402810346957,0.9505527149286831,,1.4652901176639417,1.0374552709710338,1.5246459103615853,,1.0081172597176136,1.0668621321317948,1.8305982528062987,1.1688951573444282,1.3857715873105576,1.3068963214722904,,0.7674861569052716,,2.089190384886133,0.582289210201068,0.748877566347118,1.3654512391912568,1.6551592156969785,,0.8546097938908735,1.493394413010154,1.5024773566829532,1.8792368384777416,1.1219151608658842,1.0403038809088168,1.2695388354096735,1.051616022183483,,1.7223604468778437,1.615868417469667,0.6171869106797645,1.1377958064467117,0.41888359749889115,1.8892677624840666,0.8975395719259333,0.8713055580921429,0.869913842643274,1.0011004222568365,0.5111326110510326,1.3034682389114252,1.9314277410391674,0.8867523985074084,0.7832897650222101,,,,,,1.5075720806617532,,1.3852655489498251,1.1836669303389746,0.635498177903418,1.136252858031842,,1.2913666243380686,0.8379079059386318,1.7212914970879565,1.3387199666286524,,1.996986994970379,2.205183024849722,1.5324051426708987,1.4472482954830692,0.6260114388281087,1.1888980684830797,,,1.455793634719682,1.0171863319103098,0.8441416475982781,1.600228323653552,1.5282502283855153,0.9440564470498684,1.2429703835738881,1.0949006225297138,1.187700587588531,0.710037760387545
4,Mouse39132,0.0664147686413669,,,1.4837794667648763,0.8508539765476621,1.5324163899384373,,,,,,,1.1890356861201692,1.3319088782446356,1.706941277054892,,2.1879860906342117,2.1111313472628592,1.4764704900127135,1.8072301907446604,2.266000064122223,2.164633001679326,1.9394013204432512,2.782952704360967,1.930555245812283,1.3385851041665284,1.3389921822991948,2.105772900530601,1.1265131465563767,2.0724128505699664,1.6503174255090527,1.4536545406237675,1.7822790987827464,1.6627121084514136,1.6252202967514315,2.479881107308638,2.6402422772392424,1.718784651895922,1.6891971815154851,2.138463822209845,1.806990409739234,1.3833482805024058,2.1933248128379224,2.969351004818033,2.0337551837208365,2.490132893378641,1.6935974076395581,1.6321723649351403,2.238961650276398,2.4216794440479705,1.9702117868780533,1.7707761753271918,2.107259467479786,1.1521396756374387,1.7998689515202948,1.6167080334165584,1.927413474723284,2.647830197972977,,,,,,2.2725461984970585,2.032789133528801,2.3978546226660824,1.945740121414964,2.08644692791552,2.3835873140631314,,2.4140153354406126,2.309900390203973,2.202902351283247,1.2491613190432174,2.888827348568044,3.422138097435707,2.2807586791118033,2.885878907972588,1.5910345268323922,2.3330300348812743,1.675270760947878,2.356565161660688,2.3259826565710764,,,2.2270563163247035,,2.6578990428049307,1.8341233808669477,1.8416117755444263,1.9397658477990676,2.1950896311516463,2.6468917018933387,2.2599045825255613,2.355100728342774,1.3164587002045534,2.241366386500993,1.7096384181225253,2.7946353468796783,1.540903207125796,1.653990102610695,3.3891919614367163,1.4000346896049398,1.8189930112133808,1.8140859701038976,2.412049959325176,,1.895462599286849,1.565860818721955,1.4394990294440682,2.2558211534095998,,,,3.068190918504208,1.9960887120734168,2.0585163932174804,1.9579157265784266,,,,,1.4318014192519646,2.700715874936885,1.794542335057768,2.103956135939407,2.12775521003594,1.7713112972696006,,1.6465343813889004,1.37117921003008,1.2563216842711376,1.340189114873473,1.8976333514094454,1.1879535472906555,1.2326131924369998,1.3657585783337773,2.05597569325794,1.153085549594167,1.9180711249313205,3.8415922424983835,2.4214849090030657,1.5570152861390998,2.2709265286224127,1.74155933034384,1.7465885430751775,2.044127123789163,1.8919930396585636,2.1471754387950694,1.4720750519803032,1.3657387032363104,2.114112009607239,2.4627298016080794,1.5857679271414595,1.8939465208293038,1.3719755690490445,1.4030609743321416,2.1009503285853532,1.9657739185239294,1.6420246916598384,2.1624447835619853,1.5906654824089699,2.0942373638469305,2.2135934974624076,2.0495509174327897,,,,2.8056387729993446,1.4234501893772507,3.077412210884327,2.423596638108942,1.8086571474583357,1.8197055033437912,1.6589548116166166,2.3122429414645236,1.2476208484205995,1.2502232214098556,1.8687302920558007,0.7388005259034827,1.3716181184324778,1.4252254722309283,0.7924097768703279,1.7777990861878568,2.080841548154126,2.1102911726881146,2.5874922628724395,1.8513209714535779,2.051328684673651,1.8454931411694726,1.139123986240584,2.4147487566509316,,1.4673388463676849,1.6195252682549475,2.125899899801173,2.8444525798187277,1.4060547361725788,2.5851790725513295,,2.101604550543644,1.8436702032525498,2.843201050953983,1.7942334579748593,1.7728669753531594,1.9247572884019468,2.122434857240494,,,2.31220379354527,2.201368053986357,1.703041843159421,1.8091361674210762,1.892387680798421,1.662396666563584,1.7761982374282363,1.431889050363524,1.5779454200300456,,2.4838827775009285,3.279199558399872,1.9703975889255865,1.8475243761306073,1.8136300474135167,1.8059737683900092,1.56975447077089,2.079699633463291,1.946543105466418,,2.287422407813319,,,,,,2.1859092935178235,,2.0537030059763643,,,2.0903100747012218,1.5098176512737789,2.2187095282331355,1.7315403238244744,1.2372240644804395,2.2245248010692955,2.4700900621344637,1.3267116908259176,2.165070705530362,2.001411022264825,1.724221770888987,1.682405318662875,2.4689814231749936,,,,,2.2156076579079906,2.4851520734982575,2.2258809753335824,2.0167267422591646,1.9525334899567768,,,,1.7113423463649178,1.9097835104253933,,,,,,,1.9734285412893147,2.5966286343815628,1.6901916892334397,1.6919906264644817,2.118910490525254,1.5055330620804235,2.738017518090648,2.059614492352536,,2.0170853974270933,2.6611686469071834,,1.895342595857445,2.0698328521222527,2.262663757988319,1.7267654822269314,1.9531649760081167,1.347044758720682,1.321983676162558,1.5194754429535724,1.6483577710125839,2.235502178765766,1.6856269515071507,3.070691416562054,1.7905829145044876,2.2877613384527007,1.4891711892284993,1.8970512519639322
5,Mouse39135,0.04074081533096447,,2.530830793698774,1.413061386531587,,0.5127891484322297,,,1.8330359712570852,,,,,1.591567804258398,2.691479026848532,1.7700568683806168,2.7208147185937985,,,1.8459771702909513,2.168390820908705,1.710785349625206,2.388057141459687,1.8017236376762096,1.8463147924000882,2.0692614842179267,1.688642297438561,1.847408928578706,1.606868430790686,2.102955066166364,2.1384525393575995,1.7281249633335032,1.9491499950332511,2.1767574919542136,2.1963001789017396,2.295152152463965,2.969396636204632,1.8924917033115929,1.4927477397286613,1.6859927677440005,1.6780533095526924,2.3514576039225306,1.5532856788927178,2.0864737072503665,1.4182154316407534,2.505555796337163,2.1309917166536176,,1.9902925197074208,2.2917344496303604,1.8454844211931014,2.0854736045359505,2.505414758413565,1.845178585389405,1.5961389940710489,1.7969235373735688,,,,1.9585320851287698,3.483672549187545,3.000620606310924,,,2.036311235454012,2.568620562693158,,,,2.0835181944796517,,1.7784673529822732,1.5613941322291667,2.078712448732801,,,1.6383501276978458,1.449962243517073,,2.503614843527122,2.5737427969514743,1.9813115016048717,,2.903740021866652,1.6537505558655938,2.511384815665098,1.9315912889988065,2.0917029840399763,2.064573065528995,2.004212221495249,1.8317331009151738,2.3524629839000113,2.5545314975790454,2.8451666727420872,1.4037643462803548,2.314807011933392,1.7565156568089204,1.4662043337802264,2.4696984874410965,2.0528263688536277,2.476360357062388,2.4976215908635107,,2.689789811759415,2.401331667156009,0.9878857276921172,1.468935010598946,1.6705957759335976,1.8492768342497583,,,1.7154737683141374,,1.4881037482311175,2.742748889344692,2.1844674260202916,1.9171722353979443,,,,2.0063907738702804,1.5387933572441808,1.8713508647445896,,,2.304620912400804,1.9512091094451378,2.180887968937381,2.4125445011724356,1.6965495029616466,2.9759863423216806,2.431127732603854,,1.9380417244617478,2.199728681715571,2.047868318840169,1.527253234736061,1.9062136918250407,2.1700124133943564,1.9898659204884606,1.2319115263717981,2.374187144126312,1.926425609365487,2.0068996983930614,2.5962457830245884,1.710562722760075,,,,,2.3323321643929047,2.1982881116257675,1.4341397570311418,1.336833825183799,2.0222813247770506,,,,,2.401647566577644,3.0197385349452097,1.3590156591176221,2.5401840674834153,2.4242177088914416,2.178997874216044,2.1194939104316597,2.1392676924106304,0.6320202919559597,0.7492159092064348,1.8303622397886523,2.4683343517568077,1.176215193798027,2.0017321533086117,,,1.9420249535326854,,,,,1.7687802616269845,1.76222835544073,2.3669210647021477,1.5709707692412265,1.6331182736402272,2.303942968187473,2.1384155739707325,2.719338312205969,1.5263931635834505,1.4192694360746647,1.374025520727712,1.2892437614050216,1.7292849793915048,1.1449176856445538,,,,,,,,,2.1130495131394817,2.0046510934190125,1.371258123976221,1.5714069411699334,2.022603115096991,,,,2.4761086684322833,1.5787708095059696,,1.6878868388216932,1.728400608283384,,1.621888503291172,,2.3981113094156403,1.678758130989542,,1.8843044592103073,1.9053595115707356,2.2568328408027307,1.857111483542047,,1.701828140569975,1.5358918198291904,2.467711291079357,2.1564622427481535,,,,2.0219403890376166,,,1.3642348477438837,1.0750895789439545,1.8651112743501679,1.3567256705829769,1.8290593694467412,1.7864799564942089,2.3966128121591654,1.9589256953172192,2.864356764880616,2.354540630096151,1.8979168524698624,2.0079117056311357,2.624159313737256,1.8080569669899187,1.9802686653323316,,,1.819131487623213,1.6013729590338939,,,,1.6993971632025504,1.776743774319707,,,,1.5869097236957401,2.072048615478741,2.103944884354154,2.4617412583732334,,,,,,,1.0849699899453038,,1.5119091628287697,1.794556132617025,1.6340453537610633,1.1541459005672496,1.278958449326804,2.6654158272936384,1.4740110749417925,1.4690958812135069,,,,,2.5250327997685824,1.8660716380464306,1.9301275480423343,,,,,,,1.0550493319982959,0.7057504069671088,1.960939155267238,2.229085973421291,2.1201151547487993
