,mouse,geno,decision,-2,-1,0
0,Mouse0912,clck,center->open,0.0768563704,0.0579879382,0.05205716880000001
1,Mouse0913,clck,center->open,0.05134551966666667,0.062934086,0.0675048665
2,Mouse2401,clck,center->open,0.06953585,0.07996724666666667,0.055908588
3,Mouse3881,clck,center->open,0.09833237,0.093268598,0.09489738866666668
4,Mouse3882,clck,center->open,0.05615688566666668,0.07837672333333333,0.05715919333333334
5,Mouse3883,clck,center->open,0.07243880324999999,0.07294455775,0.064219314625
6,Mouse69841,clck,center->open,0.08548095,0.0468406575,0.0062418661
7,Mouse69872,clck,center->open,0.0295952094,0.0354515272,0.0384938632
8,Mouse69873,clck,center->open,0.0682697825,0.041232246,0.0945333175
9,Mouse0912,clck,center->closed,0.05529520994736842,0.06257285910526314,0.06151193768421051
10,Mouse0913,clck,center->closed,0.0589841505,0.071294294375,0.066724973625
11,Mouse2401,clck,center->closed,0.08234885036363637,0.06937979672727272,0.080245334
12,Mouse3881,clck,center->closed,0.07942417707692306,0.09631282384615383,0.0758506683076923
13,Mouse3882,clck,center->closed,0.06800287212,0.07436626192000001,0.07076364896000001
14,Mouse3883,clck,center->closed,0.07504442385714287,0.06594315028571429,0.06918323500000001
15,Mouse69841,clck,center->closed,0.030969941985555558,0.02834951378333333,0.030047388277777778
16,Mouse69872,clck,center->closed,0.03513562516000001,0.04476326649333333,0.04172124296666667
17,Mouse69873,clck,center->closed,0.04931781795454546,0.04696073950909092,0.03784279920454546
