,mouse,decision,-2,-1,0
0,Mouse0641,center->open,0.119042896,0.11362929,0.08129005
1,Mouse39115,center->open,0.10067670499999999,0.08442998266666667,0.09677446133333333
2,Mouse39121,center->open,0.14335764125,0.14851263425,0.14138875125
3,Mouse39122,center->open,0.0789269355,0.0833186121,0.06698227790000001
4,Mouse39132,center->open,0.0977596188,0.08697777,0.08636559800000002
5,Mouse39135,center->open,0.07801415875,0.06303120675,0.078959273
6,Mouse6674,center->open,0.098075895,0.1058314925,0.091913443
7,Mouse69061,center->open,0.11170409,0.132731865,0.15867392
8,Mouse69071,center->open,0.11713330714285712,0.12970325342857145,0.106174827
9,Mouse69075,center->open,0.10539925180000001,0.09413755180000001,0.1017373286
10,Mouse8893,center->open,0.110099405,0.10254308866666667,0.06740339733333334
11,Mouse0641,center->closed,0.11411210566666667,0.11110406400000002,0.11892103183333332
12,Mouse39115,center->closed,0.104473632,0.08492137833333334,0.11877671166666666
13,Mouse39121,center->closed,0.15674475125,0.13605601750000001,0.1454604765
14,Mouse39122,center->closed,0.08022157399999999,0.07666670025,0.06490872087499999
15,Mouse39132,center->closed,0.0837560526,0.0878129016,0.07946494639999999
16,Mouse39135,center->closed,0.06746065700000001,0.062196753375000004,0.072021062
17,Mouse69061,center->closed,0.10925997583333331,0.09830174166666666,0.11216220933333336
18,Mouse69075,center->closed,0.07362834,0.098873708,0.1123939125
19,Mouse8893,center->closed,0.09701040214285715,0.10548503142857142,0.09385825057142858
