,mouse,decision,-2,-1,0
0,Mouse0641,closed->open,0.1116699315,0.1210891975,0.103709364
1,Mouse39115,closed->open,0.10593933852941176,0.09250193835294118,0.10959177629411763
2,Mouse39121,closed->open,0.1439981741111111,0.1524239802222222,0.14293633866666666
3,Mouse39122,closed->open,0.07753030229166667,0.07936595012499999,0.06916210141666666
4,Mouse39132,closed->open,0.0863222659090909,0.08707943981818182,0.10270345636363638
5,Mouse39135,closed->open,0.0854846318888889,0.07617454788888889,0.08797082522222219
6,Mouse6674,closed->open,0.08907884683333334,0.097852302,0.09491323979166667
7,Mouse69061,closed->open,0.12585801661538462,0.11115838615384616,0.11673603215384615
8,Mouse69071,closed->open,0.1156594209047619,0.12261624647619049,0.11464576823809522
9,Mouse69075,closed->open,0.1037613601875,0.0949402605625,0.10349667550000001
10,Mouse8893,closed->open,0.08936559433333334,0.091005163125,0.09022979341666669
11,Mouse39115,open->closed,0.09592623925,0.09064054587499999,0.103944219375
12,Mouse39121,open->closed,0.14308949799999998,0.184583592,0.14884159000000002
13,Mouse39122,open->closed,0.06975110936363636,0.08439042409090909,0.08548691736363635
14,Mouse39132,open->closed,0.09276051560000001,0.081561158,0.0791387492
15,Mouse39135,open->closed,0.07676555942857144,0.082434861,0.08401982542857143
16,Mouse6674,open->closed,0.08933397990909091,0.09174191590909092,0.09543577590909091
17,Mouse69061,open->closed,0.11239716633333334,0.098807074,0.1036338682222222
18,Mouse69071,open->closed,0.11886304433333332,0.11711519,0.13559093416666668
19,Mouse69075,open->closed,0.10428019857142858,0.09938249485714286,0.09947063585714287
20,Mouse8893,open->closed,0.08707081324999999,0.09849404275000001,0.081796387625
