,mouse,decision,-2,-1,0
0,Mouse0641,closed->open,0.1967410375,0.1337861595,0.1800862
1,Mouse39115,closed->open,0.15480617594117646,0.14454301152941176,0.1858084805882353
2,Mouse39121,closed->open,0.14793375361111108,0.18157382222222218,0.1568688358888889
3,Mouse39122,closed->open,0.2530526016666667,0.2746537620833333,0.25351217916666674
4,Mouse39132,closed->open,0.20702478181818182,0.2216757845454545,0.27208604999999997
5,Mouse39135,closed->open,0.25645911499999996,0.22855131755555552,0.23306438444444444
6,Mouse6674,closed->open,0.18988914791666667,0.19104179391666667,0.18097607958333337
7,Mouse69061,closed->open,0.1819371569230769,0.17530451615384615,0.18460593653846155
8,Mouse69071,closed->open,0.16074333219047618,0.1611529024761905,0.15379145857142856
9,Mouse69075,closed->open,0.1498010298125,0.1579983109375,0.170841615125
10,Mouse8893,closed->open,0.161383867875,0.16919115458333334,0.16416734233333335
11,Mouse39115,open->closed,0.15933332887499999,0.1428986175,0.17422252999999996
12,Mouse39121,open->closed,0.184408288,0.228666962,0.18337584399999998
13,Mouse39122,open->closed,0.2538072518181818,0.28595153272727275,0.2934836263636364
14,Mouse39132,open->closed,0.20718180400000002,0.195952145,0.230650998
15,Mouse39135,open->closed,0.21272423942857147,0.26491633285714283,0.3102452551428571
16,Mouse6674,open->closed,0.18019897545454547,0.20967005727272728,0.2331605836363636
17,Mouse69061,open->closed,0.164024835,0.15611838111111112,0.14199498277777778
18,Mouse69071,open->closed,0.16080065166666666,0.15803640666666668,0.20661893499999998
19,Mouse69075,open->closed,0.14861008714285714,0.14240165714285716,0.14834131228571426
20,Mouse8893,open->closed,0.152782027875,0.15229311825,0.158629501875
