Predictors,net 1,net 2,net 3
Hipp 2,0.09884242,1.0599716e-05,0.083008766
Hipp 3,0.13432041,1.0405192e-05,0.09005977
Hipp 4,0.16855676,1.0703029e-05,0.0969584
Hipp 5,0.20130019,1.146528e-05,0.09932532
Hipp 6,0.22995627,0.008768711,0.092861675
Hipp 7,0.25338617,0.038754396,0.07951065
Hipp 8,0.2740432,0.06967713,0.06251764
Hipp 9,0.29196662,0.095957644,0.045778103
Hipp 10,0.30569795,0.11540123,0.032618962
Hipp 11,0.31288433,0.12765987,0.02532355
Hipp 12,0.31812382,0.13385662,0.024731558
Hipp 13,0.32154974,0.13555148,0.027948864
Hipp 14,0.3220867,0.13617428,0.03046647
Hipp 15,0.3200419,0.13908546,0.029493712
Hipp 16,0.3139699,0.14531258,0.02517412
Hipp 17,0.30378997,0.15402502,0.018065885
Hipp 18,0.29019594,0.16333306,0.0070321076
Hipp 19,0.27539083,0.17292102,2.102355e-05
Hipp 20,0.26056814,0.18235032,2.1906864e-05
Hipp 21,0.24622044,0.19177517,2.2681385e-05
Hipp 22,0.23178285,0.20285527,2.336408e-05
Hipp 23,0.2188768,0.21833067,2.3903558e-05
Hipp 24,0.2063148,0.23809923,2.4292169e-05
Hipp 25,0.19236207,0.2626922,2.4421932e-05
Hipp 26,0.1789506,0.28783187,2.4437291e-05
Hipp 27,0.16856608,0.30982226,2.4389787e-05
Hipp 28,0.16298929,0.32746068,2.4344627e-05
Hipp 29,0.16331863,0.33967468,2.4328401e-05
Hipp 30,0.16959272,0.34602487,2.4368866e-05
Hipp 31,0.18088925,0.3467168,2.4533065e-05
Hipp 32,0.1911154,0.34255654,2.507848e-05
Hipp 33,0.20309895,0.3332259,2.5848563e-05
Hipp 34,0.21651188,0.3202164,2.6885411e-05
Hipp 35,0.2312149,0.30634585,2.82064e-05
Hipp 36,0.24462885,0.29238635,2.97997e-05
Hipp 37,0.25740626,0.28062063,3.1603544e-05
Hipp 38,0.2694069,0.27197188,3.357504e-05
Hipp 39,0.28026423,0.26635355,3.5713947e-05
Hipp 40,0.29025093,0.26187885,3.801521e-05
Hipp 41,0.29853928,0.25794572,4.0602226e-05
